pairs,sub
Cs Rh,0.0004
Cs Ru,0.0004
Cs S,0.0008
Cs Sb,0.0013
Cs Sc,0.0011
Cs Se,0.0013
Cs Si,0.0002
Cs Sm,0.0023
Cs Sn,0.001
Cs Sr,0.0147
Cs Ta,0.0007
Cs Tb,0.0012
Cs Tc,0.0004
Cs Te,0.0012
Cs Th,0.0012
Cs Ti,0.001
Cs Tl,0.0414
Cs Tm,0.0006
Cs U,0.001
Cs V,0.0021
Cs W,0.0004
Cs Y,0.0012
Cs Yb,0.0059
Cs Zn,0.0016
Cs Zr,0.0006
C Ta,0.0003
C Tb,0.0003
C Tc,0.0007
C Te,0.0022
C Th,0.0006
C Ti,0.0005
C Tl,0.0021
C Tm,0.0002
C U,0.0008
Cu Dy,0.0031
Cu Er,0.0026
Cu Eu,0.0038
Cu F,0.0002
Cu Fe,0.0429
Cu Ga,0.0506
Cu Gd,0.0016
Cu Ge,0.028
Cu H,0.0037
Cu Hf,0.0045
Cu Hg,0.0479
Cu Ho,0.0024
Cu I,0.0014
Cu In,0.0167
Cu Ir,0.0419
Cu K,0.0057
Cu La,0.0023
Cu Li,0.062
Cu Lu,0.0036
Cu Mg,0.0253
Cu Mn,0.044
Cu Mo,0.0067
Cu N,0.0006
Cu Na,0.0102
Cu Nb,0.0045
Cu Nd,0.0028
Cu Ni,0.139
Cu Np,0.0019
Cu O,0.0002
Cu Os,0.0239
Cu P,0.0062
Cu Pa,0.0029
Cu Pb,0.0091
Cu Pd,0.1081
Cu Pm,0.0004
Cu Pr,0.0029
Cu Pt,0.0895
Cu Pu,0.0023
Cu Rb,0.0048
Cu Re,0.0091
Cu Rh,0.0542
Cu Ru,0.0307
Cu S,0.0053
Cu Sb,0.0087
Cu Sc,0.0062
Cu Se,0.0066
Cu Si,0.0132
Cu Sm,0.003
Cu Sn,0.0138
Cu Sr,0.007
Cu Ta,0.0037
Cu Tb,0.0026
Cu Tc,0.0176
Cu Te,0.0023
Cu Th,0.0021
Cu Ti,0.0086
Cu Tl,0.0103
Cu Tm,0.0027
Cu U,0.0019
Cu V,0.0124
Cu W,0.0055
Cu Y,0.0025
Cu Yb,0.007
Cu Zn,0.1657
Cu Zr,0.0032
C V,0.0015
C W,0.0007
C Y,0.0002
C Yb,0.0004
C Zn,0.0024
C Zr,0.0003
Dy Er,0.6081
Dy Eu,0.0357
Dy F,0.0001
Dy Fe,0.0057
Dy Ga,0.004
Dy Gd,0.0777
Dy Ge,0.002
Dy H,0.0003
Dy Hf,0.0363
Dy Hg,0.0056
Dy Ho,0.7919
Dy I,0.0009
Dy In,0.0134
Dy Ir,0.0018
Dy K,0.0028
Dy La,0.1256
Dy Li,0.0157
Dy Lu,0.3452
Dy Mg,0.0211
Dy Mn,0.0062
Dy Mo,0.0048
Dy N,0.0
Dy Na,0.0178
Dy Nb,0.0108
Dy Nd,0.2325
Dy Ni,0.0027
Dy Np,0.0203
Dy O,0.0001
Dy Os,0.0017
Dy P,0.0013
Dy Pa,0.0503
Dy Pb,0.0052
Dy Pd,0.0016
Dy Pm,0.0031
Dy Pr,0.1759
Dy Pt,0.0013
Dy Pu,0.0197
Dy Rb,0.0019
Dy Re,0.0012
Dy Rh,0.0032
Dy Ru,0.003
Dy S,0.0002
Dy Sb,0.0048
Dy Sc,0.1235
Dy Se,0.0003
Dy Si,0.0016
Dy Sm,0.2296
Dy Sn,0.0044
Dy Sr,0.0275
Dy Ta,0.0091
Dy Tb,0.7964
Dy Tc,0.0031
Dy Te,0.0006
Dy Th,0.1083
Dy Ti,0.0101
Dy Tl,0.0081
Dy Tm,0.4972
Dy U,0.0242
Dy V,0.0069
Dy W,0.0029
Dy Y,0.6761
Dy Yb,0.1032
Dy Zn,0.0028
Dy Zr,0.0529
Er Eu,0.0314
Er F,0.0001
Er Fe,0.0061
Er Ga,0.0046
Er Gd,0.0659
Er Ge,0.0025
Er H,0.0002
Er Hf,0.0399
Er Hg,0.0062
Er Ho,0.8533
Er I,0.0005
Er In,0.0163
Er Ir,0.0017
Er K,0.003
Er La,0.0985
Er Li,0.0179
Er Lu,0.4766
Er Mg,0.029
Er Mn,0.0075
Er Mo,0.0058
Er N,0.0
Er Na,0.0158
Er Nb,0.0138
Er Nd,0.1868
Er Ni,0.0019
Er Np,0.02
Er O,0.0002
Er Os,0.0019
Er P,0.0014
Er Pa,0.0488
Er Pb,0.0065
Er Pd,0.0026
Er Pm,0.0023
Er Pr,0.1349
Er Pt,0.0015
Er Pu,0.0191
Er Rb,0.0016
Er Re,0.0015
Er Rh,0.0036
Er Ru,0.0028
Er S,0.0002
Er Sb,0.0053
Er Sc,0.1586
Er Se,0.0004
Er Si,0.0018
Er Sm,0.1833
Er Sn,0.0054
Er Sr,0.0257
Er Ta,0.0116
Er Tb,0.5175
Er Tc,0.0032
Er Te,0.0007
Er Th,0.0946
Er Ti,0.0141
Er Tl,0.0076
Er Tm,0.7469
Er U,0.0245
Er V,0.0076
Er W,0.0031
Er Y,0.5253
Er Yb,0.0991
Er Zn,0.0037
Er Zr,0.0618
Eu F,0.0004
Eu Fe,0.0034
Eu Ga,0.0024
Eu Gd,0.049
Eu Ge,0.0035
Eu H,0.0014
Eu Hf,0.0076
Eu Hg,0.0084
Eu Ho,0.0314
Eu I,0.0008
Eu In,0.0055
Eu Ir,0.0004
Eu K,0.02
Eu La,0.0796
Eu Li,0.0094
Eu Lu,0.0279
Eu Mg,0.0132
Eu Mn,0.0081
Eu Mo,0.004
Eu N,0.0003
Eu Na,0.0442
Eu Nb,0.003
Eu Nd,0.0716
Eu Ni,0.0015
Eu Np,0.0204
Eu O,0.0002
Eu Os,0.0011
Eu P,0.0006
Eu Pa,0.0223
Eu Pb,0.0159
Eu Pd,0.002
Eu Pm,0.0139
Eu Pr,0.0702
Eu Pt,0.0008
Eu Pu,0.036
Eu Rb,0.0117
Eu Re,0.0018
Eu Rh,0.0016
Eu Ru,0.0016
Eu S,0.0015
Eu Sb,0.0033
Eu Sc,0.0156
Eu Se,0.001
Eu Si,0.0007
Eu Sm,0.0803
Eu Sn,0.0047
Eu Sr,0.157
Eu Ta,0.0026
Eu Tb,0.0385
Eu Tc,0.0016
Eu Te,0.0018
Eu Th,0.0377
Eu Ti,0.0036
Eu Tl,0.0092
Eu Tm,0.0289
Eu U,0.0135
Eu V,0.0077
Eu W,0.0016
Eu Y,0.0378
Eu Yb,0.136
Eu Zn,0.0029
Eu Zr,0.0092
Fe Ga,0.0346
Fe Gd,0.0049
Fe Ge,0.0144
Fe H,0.0016
Fe Hf,0.013
Fe Hg,0.0057
Fe Ho,0.0062
Fe I,0.0018
Fe In,0.0108
Fe Ir,0.0463
Fe K,0.0015
Fe La,0.0033
Fe Li,0.017
Fe Lu,0.0101
Fe Mg,0.0215
Fe Mn,0.2332
Fe Mo,0.0426
Fe N,0.001
Fe Na,0.0054
Fe Nb,0.0237
Fe Nd,0.0038
Fe Ni,0.0858
Fe Np,0.0034
Fe O,0.0
Fe Os,0.1098
Fe P,0.0061
Fe Pa,0.0048
Fe Pb,0.0048
Fe Pd,0.0238
Fe Pm,0.0005
Fe Pr,0.0031
Fe Pt,0.0264
Fe Pu,0.0029
Fe Rb,0.0018
Fe Re,0.0561
Fe Rh,0.0517
Fe Ru,0.113
Fe S,0.0035
Fe Sb,0.0074
Fe Sc,0.0263
Fe Se,0.0044
Fe Si,0.0142
Fe Sm,0.0047
Fe Sn,0.0062
Fe Sr,0.0033
Fe Ta,0.0213
Fe Tb,0.0052
Fe Tc,0.0868
Fe Te,0.003
Fe Th,0.0023
Fe Ti,0.0284
Fe Tl,0.005
Fe Tm,0.0076
Fe U,0.0046
Fe V,0.0603
Fe W,0.0353
Fe Y,0.0054
Fe Yb,0.0057
Fe Zn,0.0277
Fe Zr,0.0108
F Fe,0.0004
F Ga,0.0
F Gd,0.0002
F Ge,0.0
F H,0.0148
F Hf,0.0002
F Hg,0.0011
F Ho,0.0002
F I,0.0102
F In,0.0002
F Ir,0.0006
F K,0.0014
F La,0.0004
F Li,0.0002
F Lu,0.0001
F Mg,0.0001
F Mn,0.0006
F Mo,0.0006
F N,0.0025
F Na,0.0009
F Nb,0.0003
F Nd,0.0003
F Ni,0.0003
F Np,0.0025
F O,0.0075
F Os,0.0002
F P,0.0011
F Pa,0.0018
F Pb,0.0003
F Pd,0.0012
F Pm,0.0
F Pr,0.0002
F Pt,0.0008
F Pu,0.001
F Rb,0.0013
F Re,0.0002
F Rh,0.0005
F Ru,0.0003
F S,0.0051
F Sb,0.0013
F Sc,0.0002
F Se,0.0022
F Si,0.0
F Sm,0.0003
F Sn,0.0004
F Sr,0.0002
F Ta,0.0002
F Tb,0.0002
F Tc,0.0007
F Te,0.0013
F Th,0.0008
F Ti,0.0002
F Tl,0.0001
F Tm,0.0002
F U,0.0012
F V,0.0004
F W,0.0006
F Y,0.0001
F Yb,0.0003
F Zn,0.0001
F Zr,0.0002
Ga Gd,0.0028
Ga Ge,0.111
Ga H,0.0018
Ga Hf,0.01
Ga Hg,0.0439
Ga Ho,0.0042
Ga I,0.0019
Ga In,0.0837
Ga Ir,0.0167
Ga K,0.0024
Ga La,0.0034
Ga Li,0.0175
Ga Lu,0.0075
Ga Mg,0.0275
Ga Mn,0.0295
Ga Mo,0.0071
Ga N,0.002
Ga Na,0.0039
Ga Nb,0.0079
Ga Nd,0.0029
Ga Ni,0.0299
Ga Np,0.0027
Ga O,0.0006
Ga Os,0.0174
Ga P,0.0202
Ga Pa,0.0041
Ga Pb,0.0258
Ga Pd,0.0199
Ga Pm,0.0011
Ga Pr,0.0027
Ga Pt,0.028
Ga Pu,0.0021
Ga Rb,0.0017
Ga Re,0.0083
Ga Rh,0.0166
Ga Ru,0.0149
Ga S,0.0048
Ga Sb,0.0284
Ga Sc,0.0201
Ga Se,0.0064
Ga Si,0.0854
Ga Sm,0.0033
Ga Sn,0.0696
Ga Sr,0.0017
Ga Ta,0.0091
Ga Tb,0.0047
Ga Tc,0.0144
Ga Te,0.0054
Ga Th,0.0025
Ga Ti,0.0169
Ga Tl,0.0266
Ga Tm,0.0055
Ga U,0.004
Ga V,0.0145
Ga W,0.0067
Ga Y,0.0043
Ga Yb,0.0042
Ga Zn,0.13
Ga Zr,0.0071
Gd Ge,0.002
Gd H,0.0006
Gd Hf,0.0099
Gd Hg,0.0034
Gd Ho,0.068
Gd I,0.0019
Gd In,0.0084
Gd Ir,0.0009
Gd K,0.0054
Gd La,0.0674
Gd Li,0.0041
Gd Lu,0.0598
Gd Mg,0.0086
Gd Mn,0.0051
Gd Mo,0.005
Gd N,0.0004
Gd Na,0.0082
Gd Nb,0.006
Gd Nd,0.0845
Gd Ni,0.0013
Gd Np,0.0359
Gd O,0.0001
Gd Os,0.0011
Gd P,0.0009
Gd Pa,0.0248
Gd Pb,0.0049
Gd Pd,0.0011
Gd Pm,0.0144
Gd Pr,0.0761
Gd Pt,0.0006
Gd Pu,0.0654
Gd Rb,0.0025
Gd Re,0.0015
Gd Rh,0.0018
Gd Ru,0.001
Gd S,0.0004
Gd Sb,0.0053
Gd Sc,0.0317
Gd Se,0.0009
Gd Si,0.0006
Gd Sm,0.1164
Gd Sn,0.0018
Gd Sr,0.0229
Gd Ta,0.0056
Gd Tb,0.0827
Gd Tc,0.0015
Gd Te,0.0013
Gd Th,0.037
Gd Ti,0.0048
Gd Tl,0.013
Gd Tm,0.0623
Gd U,0.0175
Gd V,0.0065
Gd W,0.0014
Gd Y,0.073
Gd Yb,0.0366
Gd Zn,0.0014
Gd Zr,0.0144
Ge H,0.0029
Ge Hf,0.0109
Ge Hg,0.0397
Ge Ho,0.0023
Ge I,0.0015
Ge In,0.0215
Ge Ir,0.0148
Ge K,0.0017
Ge La,0.0019
Ge Li,0.0077
Ge Lu,0.0035
Ge Mg,0.0118
Ge Mn,0.0251
Ge Mo,0.0052
Ge N,0.0047
Ge Na,0.0041
Ge Nb,0.0085
Ge Nd,0.0019
Ge Ni,0.0186
Ge Np,0.0039
Ge O,0.0013
Ge Os,0.0096
Ge P,0.071
Ge Pa,0.0027
Ge Pb,0.0481
Ge Pd,0.0156
Ge Pm,0.0
Ge Pr,0.002
Ge Pt,0.0232
Ge Pu,0.0029
Ge Rb,0.0009
Ge Re,0.0053
Ge Rh,0.0133
Ge Ru,0.0107
Ge S,0.0168
Ge Sb,0.0484
Ge Sc,0.0072
Ge Se,0.0231
Ge Si,0.1804
Ge Sm,0.0028
Ge Sn,0.1062
Ge Sr,0.0029
Ge Ta,0.009
Ge Tb,0.0022
Ge Tc,0.0092
Ge Te,0.0116
Ge Th,0.0022
Ge Ti,0.0265
Ge Tl,0.0121
Ge Tm,0.0026
Ge U,0.0038
Ge V,0.0173
Ge W,0.0064
Ge Y,0.002
Ge Yb,0.0046
Ge Zn,0.0578
Ge Zr,0.0081
Hf Hg,0.0022
Hf Ho,0.0375
Hf I,0.0009
Hf In,0.008
Hf Ir,0.0039
Hf K,0.0016
Hf La,0.01
Hf Li,0.0214
Hf Lu,0.0606
Hf Mg,0.0297
Hf Mn,0.0266
Hf Mo,0.0414
Hf N,0.0001
Hf Na,0.0082
Hf Nb,0.1154
Hf Nd,0.0177
Hf Ni,0.0048
Hf Np,0.0213
Hf O,0.0001
Hf Os,0.0054
Hf P,0.0013
Hf Pa,0.0499
Hf Pb,0.0065
Hf Pd,0.0084
Hf Pm,0.0011
Hf Pr,0.0117
Hf Pt,0.0075
Hf Pu,0.0122
Hf Rb,0.0008
Hf Re,0.0137
Hf Rh,0.0063
Hf Ru,0.01
Hf S,0.0007
Hf Sb,0.006
Hf Sc,0.1317
Hf Se,0.0016
Hf Si,0.0053
Hf Sm,0.0204
Hf Sn,0.0191
Hf Sr,0.0079
Hf Ta,0.0901
Hf Tb,0.0319
Hf Tc,0.0231
Hf Te,0.003
Hf Th,0.046
Hf Ti,0.1998
Hf Tl,0.0017
Hf Tm,0.0496
Hf U,0.0295
Hf V,0.0503
Hf W,0.0323
Hf Y,0.0345
Hf Yb,0.0183
Hf Zn,0.0085
Hf Zr,0.6149
Hg Ho,0.0063
Hg I,0.0051
Hg In,0.147
Hg Ir,0.0158
Hg K,0.0048
Hg La,0.0065
Hg Li,0.0424
Hg Lu,0.0062
Hg Mg,0.0959
Hg Mn,0.0139
Hg Mo,0.0066
Hg N,0.0002
Hg Na,0.016
Hg Nb,0.0021
Hg Nd,0.0068
Hg Ni,0.0198
Hg Np,0.0018
Hg O,0.0002
Hg Os,0.0116
Hg P,0.007
Hg Pa,0.0015
Hg Pb,0.0917
Hg Pd,0.0376
Hg Pm,0.0009
Hg Pr,0.0073
Hg Pt,0.0292
Hg Pu,0.0021
Hg Rb,0.003
Hg Re,0.0011
Hg Rh,0.0188
Hg Ru,0.0116
Hg S,0.0064
Hg Sb,0.0213
Hg Sc,0.0044
Hg Se,0.0098
Hg Si,0.0117
Hg Sm,0.0064
Hg Sn,0.0635
Hg Sr,0.0189
Hg Ta,0.0018
Hg Tb,0.0059
Hg Tc,0.0115
Hg Te,0.0107
Hg Th,0.0025
Hg Ti,0.0024
Hg Tl,0.084
Hg Tm,0.0053
Hg U,0.001
Hg V,0.0028
Hg W,0.0058
Hg Y,0.0061
Hg Yb,0.0193
Hg Zn,0.1009
Hg Zr,0.0028
H Hf,0.0004
H Hg,0.0035
H Ho,0.0002
H I,0.0033
H In,0.0007
H Ir,0.0011
H K,0.0015
H La,0.0005
H Li,0.0019
H Lu,0.0004
H Mg,0.0008
H Mn,0.0011
H Mo,0.001
H N,0.0151
H Na,0.0019
H Nb,0.0005
H Nd,0.0005
H Ni,0.002
H Np,0.0018
H O,0.0037
Ho I,0.0007
Ho In,0.0143
Ho Ir,0.0017
Ho K,0.0028
Ho La,0.1112
Ho Li,0.0168
Ho Lu,0.3967
Ho Mg,0.0255
Ho Mn,0.0063
Ho Mo,0.005
Ho N,0.0001
Ho Na,0.0168
Ho Nb,0.0114
Ho Nd,0.2129
Ho Ni,0.0022
Ho Np,0.0192
Ho O,0.0002
Ho Os,0.0014
Ho P,0.0015
Ho Pa,0.0477
Ho Pb,0.0066
Ho Pd,0.0022
Ho Pm,0.0026
Ho Pr,0.1586
Ho Pt,0.0014
Ho Pu,0.0185
Ho Rb,0.002
Ho Re,0.0012
Ho Rh,0.0024
Ho Ru,0.0036
Ho S,0.0002
H Os,0.0009
Ho Sb,0.005
Ho Sc,0.1345
Ho Se,0.0005
Ho Si,0.0019
Ho Sm,0.2046
Ho Sn,0.0048
Ho Sr,0.0266
Ho Ta,0.0097
Ho Tb,0.6471
Ho Tc,0.0028
Ho Te,0.0008
Ho Th,0.1003
Ho Ti,0.0112
Ho Tl,0.0079
Ho Tm,0.616
Ho U,0.0221
Ho V,0.0063
Ho W,0.0028
Ho Y,0.615
Ho Yb,0.1019
Ho Zn,0.003
Ho Zr,0.0546
H P,0.0035
H Pa,0.0012
H Pb,0.0009
H Pd,0.002
H Pm,0.0
H Pr,0.0002
H Pt,0.0011
H Pu,0.0023
H Rb,0.0009
H Re,0.0004
H Rh,0.001
H Ru,0.0005
H S,0.0074
H Sb,0.0033
H Sc,0.0011
H Se,0.0036
H Si,0.0009
H Sm,0.0006
H Sn,0.0009
H Sr,0.0007
H Ta,0.0006
H Tb,0.0003
H Tc,0.0008
H Te,0.0025
H Th,0.0006
H Ti,0.0003
H Tl,0.002
H Tm,0.0003
H U,0.0012
H V,0.0014
H W,0.001
H Y,0.0003
H Yb,0.0012
H Zn,0.0021
H Zr,0.0008
I In,0.0014
I Ir,0.0027
I K,0.002
I La,0.001
I Li,0.0007
I Lu,0.0009
I Mg,0.001
I Mn,0.0017
I Mo,0.0039
I N,0.0025
I Na,0.0031
I Nb,0.0024
I Nd,0.0008
I Ni,0.0011
In Ir,0.008
In K,0.0104
In La,0.0077
In Li,0.0338
In Lu,0.0207
In Mg,0.0752
In Mn,0.0122
In Mo,0.0067
In N,0.0004
In Na,0.0126
In Nb,0.0051
In Nd,0.0096
In Ni,0.0094
In Np,0.0031
In O,0.0001
In Os,0.0039
In P,0.0032
I Np,0.0113
In Pa,0.0044
In Pb,0.0797
In Pd,0.0127
In Pm,0.0003
In Pr,0.008
In Pt,0.0115
In Pu,0.0029
In Rb,0.0097
In Re,0.0014
In Rh,0.0123
In Ru,0.0062
In S,0.0014
In Sb,0.0318
In Sc,0.0272
In Se,0.0018
In Si,0.0109
In Sm,0.0117
In Sn,0.1097
In Sr,0.0052
In Ta,0.0051
In Tb,0.0129
In Tc,0.0027
In Te,0.0039
In Th,0.0038
In Ti,0.0098
In Tl,0.1507
In Tm,0.0154
In U,0.0037
In V,0.0086
In W,0.0031
In Y,0.0136
In Yb,0.0111
In Zn,0.0665
In Zr,0.0078
I O,0.0011
I Os,0.0045
I P,0.002
I Pa,0.0035
I Pb,0.0021
I Pd,0.0021
I Pm,0.0006
I Pr,0.0015
I Pt,0.002
I Pu,0.0091
I Rb,0.0024
I Re,0.0023
I Rh,0.0015
Ir K,0.0002
Ir La,0.0013
Ir Li,0.0128
Ir Lu,0.0026
Ir Mg,0.0036
Ir Mn,0.032
Ir Mo,0.0191
Ir N,0.001
Ir Na,0.001
Ir Nb,0.0063
Ir Nd,0.0013
Ir Ni,0.091
Ir Np,0.0056
Ir O,0.0004
Ir Os,0.1434
Ir P,0.0078
Ir Pa,0.0028
Ir Pb,0.0057
Ir Pd,0.1097
Ir Pm,0.0003
Ir Pr,0.0023
Ir Pt,0.1886
Ir Pu,0.0038
Ir Rb,0.0003
Ir Re,0.034
Ir Rh,0.4306
Ir Ru,0.2232
Ir S,0.0034
Ir Sb,0.0096
Ir Sc,0.0037
Ir Se,0.0044
Ir Si,0.0115
Ir Sm,0.0007
Ir Sn,0.0094
Ir Sr,0.0007
Ir Ta,0.0082
Ir Tb,0.0012
Ir Tc,0.0656
Ir Te,0.0059
Ir Th,0.0007
Ir Ti,0.0055
Ir Tl,0.003
Ir Tm,0.0022
Ir U,0.0032
I Ru,0.0021
Ir V,0.0102
Ir W,0.0178
Ir Y,0.0016
Ir Yb,0.0009
Ir Zn,0.0261
Ir Zr,0.004
I S,0.0074
I Sb,0.0064
I Sc,0.0006
I Se,0.0084
I Si,0.0014
I Sm,0.0019
I Sn,0.0011
I Sr,0.0013
I Ta,0.0028
I Tb,0.001
I Tc,0.0028
I Te,0.0153
I Th,0.0007
I Ti,0.0005
I Tl,0.0031
I Tm,0.0008
I U,0.004
I V,0.002
I W,0.0029
I Y,0.001
I Yb,0.001
I Zn,0.0008
I Zr,0.0008
K La,0.0108
K Li,0.0283
K Lu,0.0024
K Mg,0.0039
K Mn,0.0037
K Mo,0.0009
K N,0.0
K Na,0.1685
K Nb,0.0012
K Nd,0.0079
K Ni,0.001
K Np,0.0047
K O,0.0006
K Os,0.0004
K P,0.0008
K Pa,0.0016
K Pb,0.0067
K Pd,0.0016
K Pm,0.0011
K Pr,0.0081
K Pt,0.0007
K Pu,0.007
K Rb,0.5724
K Re,0.0004
K Rh,0.0005
K Ru,0.0004
K S,0.0007
K Sb,0.002
K Sc,0.0024
K Se,0.0018
K Si,0.0003
K Sm,0.0076
K Sn,0.0016
K Sr,0.0371
K Ta,0.0008
K Tb,0.0034
K Tc,0.0005
K Te,0.0013
K Th,0.0047
K Ti,0.0025
K Tl,0.0624
K Tm,0.0025
K U,0.0029
K V,0.0028
K W,0.0005
K Y,0.0032
K Yb,0.0163
K Zn,0.0018
K Zr,0.0015
La Li,0.0091
La Lu,0.0673
La Mg,0.0109
La Mn,0.004
La Mo,0.0017
La N,0.0001
La Na,0.0214
La Nb,0.0047
La Nd,0.4669
La Ni,0.0012
La Np,0.0218
La O,0.0003
La Os,0.0003
La P,0.0008
La Pa,0.0339
La Pb,0.0089
La Pd,0.0026
La Pm,0.0064
La Pr,0.5003
La Pt,0.0011
La Pu,0.0224
La Rb,0.0061
La Re,0.0009
La Rh,0.0018
La Ru,0.0006
La S,0.0002
La Sb,0.0039
La Sc,0.0335
La Se,0.0006
La Si,0.0012
La Sm,0.2376
La Sn,0.0037
La Sr,0.0832
La Ta,0.0035
La Tb,0.154
La Tc,0.0011
La Te,0.001
La Th,0.1188
La Ti,0.0051
La Tl,0.0079
La Tm,0.0825
La U,0.0177
La V,0.0039
La W,0.0006
La Y,0.141
La Yb,0.0876
La Zn,0.0023
La Zr,0.0157
Li Lu,0.0233
Li Mg,0.1179
Li Mn,0.0358
Li Mo,0.016
Li N,0.0005
Li Na,0.0974
Li Nb,0.0175
Li Nd,0.0125
Li Ni,0.0237
Li Np,0.0055
Li O,0.0002
Li Os,0.0086
Li P,0.0024
Li Pa,0.0069
Li Pb,0.0085
Li Pd,0.0269
Li Pm,0.0024
Li Pr,0.0112
Li Pt,0.0165
Li Pu,0.0042
Li Rb,0.0205
Li Re,0.0097
Li Rh,0.0211
Li Ru,0.0167
Li S,0.0007
Li Sb,0.0035
Li Sc,0.0451
Li Se,0.0008
Li Si,0.0043
Li Sm,0.0141
Li Sn,0.008
Li Sr,0.0168
Li Ta,0.0148
Li Tb,0.0141
Li Tc,0.016
Li Te,0.0011
Li Th,0.0067
Li Ti,0.0191
Li Tl,0.0192
Li Tm,0.0201
Li U,0.007
Li V,0.0206
Li W,0.0144
Li Y,0.0164
Li Yb,0.0291
Li Zn,0.0654
Li Zr,0.0216
Lu Mg,0.0426
Lu Mn,0.0107
Lu Mo,0.0092
Lu N,0.0001
Lu Na,0.0168
Lu Nb,0.0218
Lu Nd,0.1208
Lu Ni,0.0034
Lu Np,0.0243
Lu O,0.0002
Lu Os,0.0035
Lu P,0.0018
Lu Pa,0.0491
Lu Pb,0.0064
Lu Pd,0.0023
Lu Pm,0.0028
Lu Pr,0.0918
Lu Pt,0.0016
Lu Pu,0.0197
Lu Rb,0.0013
Lu Re,0.003
Lu Rh,0.0047
Lu Ru,0.0036
Lu S,0.0002
Lu Sb,0.0074
Lu Sc,0.2485
Lu Se,0.0004
Lu Si,0.0022
Lu Sm,0.13
Lu Sn,0.0073
Lu Sr,0.022
Lu Ta,0.0186
Lu Tb,0.2817
Lu Tc,0.0057
Lu Te,0.0014
Lu Th,0.0763
Lu Ti,0.022
Lu Tl,0.0078
Lu Tm,0.6568
Lu U,0.0296
Lu V,0.0133
Lu W,0.0062
Lu Y,0.2899
Lu Yb,0.083
Lu Zn,0.0061
Lu Zr,0.0835
Mg Mn,0.0499
Mg Mo,0.0121
Mg N,0.0001
Mg Na,0.0286
Mg Nb,0.0235
Mg Nd,0.0156
Mg Ni,0.0197
Mg Np,0.0083
Mg O,0.0001
Mg Os,0.0046
Mg P,0.0015
Mg Pa,0.0106
Mg Pb,0.0196
Mg Pd,0.0109
Mg Pm,0.0011
Mg Pr,0.0128
Mg Pt,0.0068
Mg Pu,0.007
Mg Rb,0.0032
Mg Re,0.0072
Mg Rh,0.0072
Mg Ru,0.0081
Mg S,0.0005
Mg Sb,0.0062
Mg Sc,0.0755
Mg Se,0.0003
Mg Si,0.0029
Mg Sm,0.0211
Mg Sn,0.0247
Mg Sr,0.0203
Mg Ta,0.0176
Mg Tb,0.0194
Mg Tc,0.0099
Mg Te,0.0015
Mg Th,0.0126
Mg Ti,0.0261
Mg Tl,0.0203
Mg Tm,0.0307
Mg U,0.0107
Mg V,0.0258
Mg W,0.0105
Mg Y,0.0224
Mg Yb,0.0421
Mg Zn,0.1159
Mg Zr,0.0342
Mn Mo,0.0803
Mn N,0.0005
Mn Na,0.0083
Mn Nb,0.0392
Mn Nd,0.005
Mn Ni,0.06
Mn Np,0.0094
Mn O,0.0001
Mn Os,0.0662
Mn P,0.007
Mn Pa,0.0095
Mn Pb,0.0133
Mn Pd,0.0279
Mn Pm,0.0003
Mn Pr,0.0047
Mn Pt,0.023
Mn Pu,0.0064
Mn Rb,0.0036
Mn Re,0.1003
Mn Rh,0.0394
Mn Ru,0.0658
Mn S,0.0026
Mn Sb,0.0094
Mn Sc,0.028
Mn Se,0.0068
Mn Si,0.0123
Mn Sm,0.0065
Mn Sn,0.0123
Mn Sr,0.0107
Mn Ta,0.038
Mn Tb,0.0055
Mn Tc,0.1141
Mn Te,0.0048
Mn Th,0.004
Mn Ti,0.0561
Mn Tl,0.0088
Mn Tm,0.0075
Mn U,0.01
Mn V,0.1034
Mn W,0.0718
Mn Y,0.0063
Mn Yb,0.015
Mn Zn,0.0481
Mn Zr,0.0222
Mo N,0.0004
Mo Na,0.0021
Mo Nb,0.1155
Mo Nd,0.0022
Mo Ni,0.0096
Mo Np,0.0202
Mo O,0.0
Mo Os,0.0561
Mo P,0.002
Mo Pa,0.0132
Mo Pb,0.0049
Mo Pd,0.0093
Mo Pm,0.0002
Mo Pr,0.002
Mo Pt,0.0122
Mo Pu,0.0128
Mo Rb,0.001
Mo Re,0.1697
Mo Rh,0.0229
Mo Ru,0.0498
Mo S,0.0025
Mo Sb,0.0139
Mo Sc,0.0259
Mo Se,0.0064
Mo Si,0.0026
Mo Sm,0.0042
Mo Sn,0.0058
Mo Sr,0.0011
Mo Ta,0.1242
Mo Tb,0.0038
Mo Tc,0.142
Mo Te,0.0082
Mo Th,0.0023
Mo Ti,0.0903
Mo Tl,0.0028
Mo Tm,0.0069
Mo U,0.0185
Mo V,0.1399
Mo W,0.5076
Mo Y,0.0035
Mo Yb,0.0041
Mo Zn,0.0052
Mo Zr,0.0265
Na Nb,0.0055
Na Nd,0.0228
Na Ni,0.0038
Na Np,0.0078
Na O,0.0003
Na Os,0.0006
Na P,0.0006
Na Pa,0.007
Na Pb,0.0115
Na Pd,0.005
Na Pm,0.0012
Na Pr,0.0218
Na Pt,0.0019
Na Pu,0.0067
Na Rb,0.1174
Na Re,0.0006
Na Rh,0.0024
Na Ru,0.0009
Na S,0.0005
Na Sb,0.0045
Na Sc,0.0158
Na Se,0.0008
