pairs,sub
As Pu,0.0027
As Rb,0.001
As Re,0.005
As Rh,0.0112
As Ru,0.0095
As S,0.0239
As Sb,0.1125
As Sc,0.0052
As Se,0.0386
As Si,0.0543
As Sm,0.0027
As Sn,0.0324
As Sr,0.0013
As Ta,0.0109
As Tb,0.002
As Tc,0.0076
As Te,0.0169
As Th,0.0014
As Ti,0.0064
As Tl,0.0045
As Tm,0.003
As U,0.0045
As V,0.0234
As W,0.005
As Y,0.0021
As Yb,0.0014
As Zn,0.0154
As Zr,0.0031
Au B,0.0033
Au Ba,0.002
Au Be,0.0182
Au Bi,0.024
Au Br,0.0085
Au C,0.0022
Au Ca,0.0034
Au Cd,0.0468
Au Ce,0.0008
Au Cl,0.0063
Au Co,0.0218
Au Cr,0.0051
Au Cs,0.0021
Au Cu,0.152
Au Dy,0.001
Au Er,0.0018
Au Eu,0.0029
Au F,0.0013
Au Fe,0.0144
Au Ga,0.041
Au Gd,0.0018
Au Ge,0.0334
Au H,0.0037
Au Hf,0.0026
Au Hg,0.1249
Au Ho,0.0021
Au I,0.0048
Au In,0.0288
Au Ir,0.0606
Au K,0.0024
Au La,0.0017
Au Li,0.0296
Au Lu,0.0022
Au Mg,0.0175
Au Mn,0.0159
Au Mo,0.0133
Au N,0.001
Au Na,0.0084
Au Nb,0.0062
Au Nd,0.0016
Au Ni,0.0511
Au Np,0.0035
Au O,0.0003
Au Os,0.0342
Au P,0.0095
Au Pa,0.0032
Au Pb,0.0233
Au Pd,0.1417
Au Pm,0.0014
Au Pr,0.0014
Au Pt,0.13
Au Pu,0.0047
Au Rb,0.0031
Au Re,0.0077
Au Rh,0.0633
Au Ru,0.0356
Au S,0.0049
Au Sb,0.0222
Au Sc,0.0042
Au Se,0.0113
Au Si,0.0128
Au Sm,0.0023
Au Sn,0.0273
Au Sr,0.0038
Au Ta,0.0097
Au Tb,0.0015
Au Tc,0.0207
Au Te,0.0088
Au Th,0.0012
Au Ti,0.0036
Au Tl,0.0202
Au Tm,0.0016
Au U,0.0043
Au V,0.0039
Au W,0.0133
Au Y,0.0016
Au Yb,0.0045
Au Zn,0.0966
Au Zr,0.002
Ba Be,0.0014
Ba Bi,0.0037
Ba Br,0.0007
Ba C,0.0004
Ba Ca,0.0665
Ba Cd,0.0081
Ba Ce,0.0125
Ba Cl,0.0006
Ba Co,0.0014
Ba Cr,0.0039
Ba Cs,0.0273
Ba Cu,0.0035
Ba Dy,0.0062
Ba Er,0.0052
Ba Eu,0.0664
Ba F,0.0005
Ba Fe,0.0036
Ba Ga,0.0018
Ba Gd,0.0102
Ba Ge,0.002
Ba H,0.0009
Ba Hf,0.002
Ba Hg,0.0063
Ba Ho,0.0061
Ba I,0.0014
Ba In,0.0037
Ba Ir,0.0003
Ba K,0.061
Ba La,0.0284
Ba Li,0.007
Ba Lu,0.0051
Ba Mg,0.0079
Ba Mn,0.0067
Ba Mo,0.0008
Ba N,0.0
Ba Na,0.0355
Ba Nb,0.0017
Ba Nd,0.0208
Ba Ni,0.0022
Ba Np,0.0063
Ba O,0.0003
Ba Os,0.0003
Ba P,0.0009
Ba Pa,0.0051
Ba Pb,0.0231
Ba Pd,0.0024
Ba Pm,0.0026
Ba Pr,0.0211
Ba Pt,0.0009
Ba Pu,0.0095
Ba Rb,0.0407
Ba Re,0.0003
Ba Rh,0.0005
Ba Ru,0.0005
Ba S,0.0005
Ba Sb,0.0025
Ba Sc,0.0041
Ba Se,0.0012
Ba Si,0.0004
Ba Sm,0.0171
Ba Sn,0.0043
Ba Sr,0.2686
Ba Ta,0.0006
Ba Tb,0.0066
Ba Tc,0.0006
Ba Te,0.0017
Ba Th,0.0103
Ba Ti,0.0021
Ba Tl,0.0115
Ba Tm,0.0054
Ba U,0.0036
Ba V,0.0042
Ba W,0.0003
Ba Y,0.0068
Ba Yb,0.0442
Ba Zn,0.0032
Ba Zr,0.0022
B Ba,0.0003
B Be,0.032
B Bi,0.0015
B Br,0.0011
B C,0.0227
B Ca,0.0004
B Cd,0.0011
B Ce,0.0007
B Cl,0.0008
B Co,0.0045
B Cr,0.0014
B Cs,0.0002
B Cu,0.0041
B Dy,0.001
Be Bi,0.0021
Be Br,0.0005
Be C,0.0055
Be Ca,0.0029
Be Cd,0.0051
Be Ce,0.0027
Be Cl,0.0003
Be Co,0.0215
Be Cr,0.0144
Be Cs,0.0009
Be Cu,0.0543
Be Dy,0.0012
Be Er,0.0014
Be Eu,0.0021
Be F,0.0004
Be Fe,0.0286
Be Ga,0.0398
Be Gd,0.0016
Be Ge,0.0425
Be H,0.0061
Be Hf,0.003
Be Hg,0.0099
Be Ho,0.0015
Be I,0.0008
Be In,0.0044
Be Ir,0.0076
Be K,0.0011
Be La,0.001
Be Li,0.0125
Be Lu,0.0024
Be Mg,0.0104
Be Mn,0.0335
Be Mo,0.0035
Be N,0.0025
Be Na,0.0013
Be Nb,0.0042
Be Nd,0.0015
Be Ni,0.0253
Be Np,0.0029
Be O,0.0001
Be Os,0.0076
Be P,0.0152
Be Pa,0.0031
Be Pb,0.004
Be Pd,0.0096
Be Pm,0.0017
Be Pr,0.001
Be Pt,0.0112
Be Pu,0.0025
B Er,0.0009
Be Rb,0.0009
Be Re,0.0074
Be Rh,0.0084
Be Ru,0.0058
Be S,0.0066
Be Sb,0.0053
Be Sc,0.0043
Be Se,0.0052
Be Si,0.0281
Be Sm,0.0025
Be Sn,0.0072
Be Sr,0.0016
Be Ta,0.0048
Be Tb,0.0014
Be Tc,0.0071
Be Te,0.0027
Be Th,0.0016
Be Ti,0.0079
Be Tl,0.0041
Be Tm,0.0017
Be U,0.0022
B Eu,0.0004
Be V,0.0128
Be W,0.004
Be Y,0.0018
Be Yb,0.0025
Be Zn,0.0613
Be Zr,0.0024
B F,0.0003
B Fe,0.0049
B Ga,0.0137
B Gd,0.0006
B Ge,0.0147
B H,0.0024
B Hf,0.0008
B Hg,0.0032
B Ho,0.0009
B I,0.0007
Bi Br,0.0039
Bi C,0.0017
Bi Ca,0.0092
Bi Cd,0.0215
Bi Ce,0.0085
Bi Cl,0.0026
Bi Co,0.0067
Bi Cr,0.0088
Bi Cs,0.0016
Bi Cu,0.0075
Bi Dy,0.0167
Bi Er,0.0149
Bi Eu,0.0102
Bi F,0.0004
Bi Fe,0.0061
Bi Ga,0.0248
Bi Gd,0.0172
Bi Ge,0.0283
Bi H,0.0016
Bi Hf,0.0038
Bi Hg,0.0468
Bi Ho,0.015
Bi I,0.0042
Bi In,0.0487
Bi Ir,0.0121
Bi K,0.0026
Bi La,0.0186
Bi Li,0.0031
Bi Lu,0.0155
Bi Mg,0.0067
Bi Mn,0.0064
Bi Mo,0.0094
Bi N,0.0007
B In,0.0017
Bi Na,0.0061
Bi Nb,0.0065
Bi Nd,0.0229
Bi Ni,0.004
Bi Np,0.0123
Bi O,0.0001
Bi Os,0.0094
Bi P,0.0159
Bi Pa,0.0071
Bi Pb,0.1408
Bi Pd,0.0065
Bi Pm,0.0002
Bi Pr,0.0223
Bi Pt,0.0115
Bi Pu,0.0103
B Ir,0.0026
Bi Rb,0.0015
Bi Re,0.0015
Bi Rh,0.0109
Bi Ru,0.0101
Bi S,0.0048
Bi Sb,0.2587
Bi Sc,0.0075
Bi Se,0.0097
Bi Si,0.0126
Bi Sm,0.0248
Bi Sn,0.1023
Bi Sr,0.0118
Bi Ta,0.0101
Bi Tb,0.018
Bi Tc,0.0056
Bi Te,0.0354
Bi Th,0.0049
Bi Ti,0.0042
Bi Tl,0.0468
Bi Tm,0.0126
Bi U,0.0114
Bi V,0.007
Bi W,0.0066
Bi Y,0.0163
Bi Yb,0.0108
Bi Zn,0.0104
Bi Zr,0.004
B K,0.0005
B La,0.0007
B Li,0.0005
B Lu,0.0013
B Mg,0.0005
B Mn,0.0042
B Mo,0.0005
B N,0.0039
B Na,0.0005
B Nb,0.0007
B Nd,0.0004
B Ni,0.0062
B Np,0.0005
B O,0.0019
B Os,0.0027
B P,0.0124
B Pa,0.0007
B Pb,0.0018
B Pd,0.0017
B Pm,0.0002
B Pr,0.0006
B Pt,0.0037
B Pu,0.0007
B Rb,0.0005
Br C,0.0038
Br Ca,0.001
Br Cd,0.001
Br Ce,0.0006
Br Cl,0.3114
Br Co,0.0008
Br Cr,0.002
Br Cs,0.0014
Br Cu,0.0029
Br Dy,0.0004
B Re,0.0007
Br Er,0.0002
Br Eu,0.0007
Br F,0.0204
Br Fe,0.0012
Br Ga,0.002
Br Gd,0.0008
Br Ge,0.0054
Br H,0.0085
B Rh,0.0023
Br Hf,0.0005
Br Hg,0.008
Br Ho,0.0005
Br I,0.3271
Br In,0.0016
Br Ir,0.002
Br K,0.0014
Br La,0.0007
Br Li,0.0004
Br Lu,0.0004
Br Mg,0.0006
Br Mn,0.0015
Br Mo,0.002
Br N,0.0053
Br Na,0.0025
Br Nb,0.0014
Br Nd,0.0006
Br Ni,0.0011
Br Np,0.0033
Br O,0.0026
Br Os,0.0034
Br P,0.0062
Br Pa,0.0029
Br Pb,0.0021
Br Pd,0.0032
Br Pm,0.0006
Br Pr,0.0008
Br Pt,0.0032
Br Pu,0.0033
Br Rb,0.0012
Br Re,0.0008
Br Rh,0.0023
Br Ru,0.0021
Br S,0.0164
Br Sb,0.0053
Br Sc,0.0005
Br Se,0.0164
Br Si,0.0023
Br Sm,0.001
Br Sn,0.002
Br Sr,0.0006
Br Ta,0.0019
Br Tb,0.0005
Br Tc,0.0037
Br Te,0.011
Br Th,0.0006
Br Ti,0.0003
Br Tl,0.0023
Br Tm,0.0003
Br U,0.0023
B Ru,0.0021
Br V,0.0036
Br W,0.0023
Br Y,0.0003
Br Yb,0.0012
Br Zn,0.0022
Br Zr,0.0004
B S,0.0045
B Sb,0.0031
B Sc,0.0007
B Se,0.0027
B Si,0.0147
B Sm,0.0005
B Sn,0.0033
B Sr,0.0003
B Ta,0.0009
B Tb,0.0009
B Tc,0.0017
B Te,0.0011
B Th,0.0005
B Ti,0.0011
B Tl,0.0012
B Tm,0.001
B U,0.0008
B V,0.0014
B W,0.0003
B Y,0.0007
B Yb,0.0006
B Zn,0.0067
B Zr,0.0006
Ca Cd,0.0346
Ca Ce,0.0506
Ca Cl,0.001
Ca Co,0.0039
Ca Cr,0.0058
Ca Cs,0.0067
Ca Cu,0.0059
Ca Dy,0.0683
Ca Er,0.0645
Ca Eu,0.1509
Ca F,0.0004
Ca Fe,0.007
Ca Ga,0.0031
Ca Gd,0.028
Ca Ge,0.0039
Ca H,0.0012
Ca Hf,0.0131
Ca Hg,0.0191
Ca Ho,0.0656
Ca I,0.0009
Ca In,0.0069
Ca Ir,0.0012
Ca K,0.0213
Ca La,0.093
Ca Li,0.0303
Ca Lu,0.0547
Ca Mg,0.0403
Ca Mn,0.0151
Ca Mo,0.0015
Ca N,0.0
Ca Na,0.0766
Ca Nb,0.005
Ca Nd,0.1066
Ca Ni,0.0063
Ca Np,0.0171
Ca O,0.0004
Ca Os,0.0007
