,formula,class>1e-4
149,LiAlSi2O6,0
150,Li7La3Ta2O13,0
151,Li7La3Ta2O13,0
152,Li7La3Ta2O13,0
153,Li7La3Ta2O13,0
154,Li0.5La0.5TiO3,1
155,Li0.5La0.5TiO3,1
156,Li0.5La0.5TiO3,1
157,Li0.5La0.5TiO3,1
158,Li0.5La0.5TiO3,1
159,Li0.24La0.59TiO3,0
160,Li0.5La0.5TiO3,0
161,Li5La3Ta2O12,0
162,Li5La3Ta2O12,0
163,Li5La3Ta2O12,0
164,Li4.2Ge0.8Ga0.2S4,1
165,Li4.2Ge0.8Ga0.2S4,1
166,Li4.2Ge0.8Ga0.2S4,1
167,Li4.2Ge0.8Ga0.2S4,0
168,Li1.076Al0.6923Ti1.462(PO4)3,1
169,Li1.076Al0.6923Ti1.462(PO4)3,1
170,Li1.5Al0.5Ge1.5(PO4)3,1
171,LiGe2(PO4)3,0
172,Li4Nd3TeSbO12,0
173,Li4Nd3TeSbO12,0
174,Li3.2Ge0.2P0.8S4,1
175,Li3.6Ge0.6P0.4S4,1
176,Li3.8Ge0.8P0.2S4,1
177,Li9SiAlO8,0
178,Li6Sr0.5Ba0.5La2Ta2O12,1
179,Li6SrLa2Ta2O12,1
180,Li6Sr0.5Ba0.5La2Ta2O12,1
181,Li6SrLa2Ta2O12,1
182,Li6Sr0.5Ba0.5La2Ta2O12,1
183,Li6SrLa2Ta2O12,1
184,Li6BaLa2Ta2O12,1
185,Li6Sr0.5Ba0.5La2Ta2O12,0
186,Li6MgLa2Ta2O12,0
187,Li6SrLa2Ta2O12,0
188,Li6CaLa2Ta2O12,0
189,Li6BaLa2Ta2O12,0
190,Li6SrLa2Ta2O12,0
191,Li6Sr0.5Ba0.5La2Ta2O12,0
192,Li6Sr0.5Ba0.5La2Ta2O12,0
193,Li6CaLa2Ta2O12,0
194,Li6MgLa2Ta2O12,0
195,Li3.25Ge0.25P0.75S4,1
196,Li6.75La3Zr1.75Ta0.25O12,1
197,Li2.7Cr1.7Hf0.3(PO4)3,0
198,Li2.5Cr1.5Hf0.5(PO4)3,1
199,Li1.7Cr0.7Hf1.3(PO4)3,1
200,Li2.3Cr1.3Hf0.7(PO4)3,1
201,Li2CrHf(PO4)3,1
202,Li1.3Fe0.3Ti1.7(PO4)3,1
203,Li2AlZr(PO4)3,0
204,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,1
205,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,1
206,Li1.15Fe0.15Ti1.85(PO4)3,1
207,LiTi2(PO4)3,0
208,Li0.95Hf1.95Ta0.05(PO4)3,1
209,Li0.95Zr1.95Ta0.05(PO4)3,1
210,Li0.9Zr1.9Ta0.1(PO4)3,1
211,Li0.5Hf1.5Ta0.5(PO4)3,1
212,Li0.8Zr1.8Nb0.2(PO4)3,0
213,Li0.5Zr1.5Ta0.5(PO4)3,1
214,Li0.85Hf1.85Ta0.15(PO4)3,1
215,Li0.5Zr1.5Nb0.5(PO4)3,1
216,Li0.6Zr1.6Nb0.4(PO4)3,1
217,Li0.8Hf1.8Nb0.2(PO4)3,1
218,Li0.1Zr1.1Nb0.9(PO4)3,1
219,LiHfTi(PO4)3,0
220,Li0.2Zr1.2Nb0.8(PO4)3,0
221,Li3Fe2(PO4)3,0
222,Li3Cr2(PO4)3,0
223,Li1.6Ga0.6Ti1.4(PO4)3,0
224,Li1.2Sc0.2Ti1.8(PO4)3,1
225,Li1.8Sc0.8Ti1.2(PO4)3,1
226,Li1.3Sc0.3Ti1.7(PO4)3,1
227,Li1.1Sc0.1Ti1.9(PO4)3,1
228,Li1.2Sc0.2Ti1.6Zr0.2(PO4)3,1
229,LiTi1.75Zr0.25(PO4)3,0
230,LiTi1.8Zr0.2(PO4)3,0
231,LiTi0.2Zr1.8(PO4)3,0
232,Li1.2Sc0.2Ti0.2Zr1.5(PO4)3,0
233,LiTi1.8Zr0.2(PO4)3,0
234,LiTi0.5Zr1.5(PO4)3,0
235,LiTi0.5Zr1.5(PO4)3,1
236,LiTiZr(PO4)3,0
237,LiTi0.1Zr1.9(PO4)3,0
238,Li1.35In0.35Ti1.65(PO4)3,1
239,Li1.2Al1.1Ta0.9(PO4)3,0
240,LiAlTa(PO4)3,0
241,Li2.8In1.8Ti0.2(PO4)3,1
242,LiFeTa(PO4)3,1
243,LiCrTa(PO4)3,0
244,Li1.8Cr0.8Ti1.2(PO4)3,1
245,Li1.5Cr0.5Ti1.5(PO4)3,1
