,formula,class>1e-4
627,Li9.54Si1.74P1.44S11.7Cl0.3,1
628,Li10GeP2S12,1
629,Li7La3Sn2O12,0
630,Li6.4La3Zr1.4Ta0.6O12 ,1
631,Li6.5La3Zr1.5Ta0.5O12 ,1
632,Li6.6La3Zr1.6Ta0.4O12 ,1
633,Li6.7La3Zr1.7Ta0.3O12,1
634,Li6.2La3Zr1.2Ta0.8O12 ,1
635,Li6.8La3Zr1.8Ta0.2O12 ,1
636,Li6La3ZrTaO12 ,1
637,Li6.6La3Zr1.6Sb0.4O12,1
638,Li6.4La3Zr1.4Sb0.6O12 ,1
639,Li6.2La3Zr1.2Sb0.8O12 ,1
640,Li6La3ZrSbO12 ,1
641,Li6.8La3Zr1.8Sb0.2O12 ,0
642,Li5La3Ta2O12 ,0
643,Li5La3Nb2O12 ,0
644,Li6BaLa2Nb2O12 ,0
645,Li6SrLa2Nb2O12 ,0
646,Li6CaLa2Nb2O12,0
647,Li3.25Ge0.25P0.75S4,1
648,Li6.75La3Zr1.75Ta0.25O12 ,1
649,Li10SiP2S12,1
650,Li1.3Al0.3Ti1.7(PO4)3,1
651,Li1.5Al0.5Ge1.5(PO4)3,1
652,Li1.5Al0.5Ge1.5(PO4)3,1
653,Li1.5Al0.5Ge1.5(PO4)3,1
654,Li1.5Al0.5Ge1.5(PO4)3,1
655,Li1.5Al0.5Ge1.5(PO4)3,1
656,Li1.5Al0.5Ge1.5(PO4)3,1
657,Li1.5Al0.5Ge1.5(PO4)3,1
658,Li6.5La3Nb1.25Y0.75O12,1
659,Li2MgZrO4,0
660,Li6SrLa2Ta2O12,0
661,LiPO3,0
662,Li3.9Zn0.05GeS4,0
663,Li1.6Ti1.7Mg0.3P3O12,0
664,Li7La3Ta2O13,0
665,Li7La3Zr2O12,0
666,Li4.275Ge0.61Ga0.25S4,0
667,Li1.4Ti1.6In0.4P3O12,1
668,Li1.8Cr0.8Ti1.2(PO4)3,1
669,Li3.6Ge0.4P0.6S4,1
670,Li3.35Ge0.35P0.65S4,1
671,Li1.6Ti1.7Mg0.3P3O12,1
672,Li3.6Ge0.4P0.6S4,1
673,Li1.6Ga0.6Ti1.4(PO4)3,1
674,Li3.35Ge0.35P0.65S4,1
675,Li3.25Ge0.25P0.75S4,1
676,Li1.4Ti1.6In0.4P3O12,1
677,Li5La3Nb2O12 ,1
678,Li6NiCl8,0
679,Li6CoCl8,0
680,Li6CoCl8,0
681,Li6NiCl8,1
682,Li6FeCl8,0
683,Li6FeCl8,1
684,Li6La2Ca(Nb)2O12,0
685,Li6MgLa2Ta2O12,0
686,Li1.5Al0.5Ge1.5(PO4)3,1
687,Li4.4Al0.4Ge0.6S4,0
688,Li4.4Al0.4Sn0.6S4,0
689,Li4.4Ga0.4Ge0.6S4,0
690,Li4.4Ga0.4Sn0.6S4,0
691,Li4.275Ga0.25Ge0.61S4,0
692,Li4.8Al0.8Si0.2S4,0
693,Li4GeS4,0
694,Li4SnS4,0
695,Li5AlS4,0
696,Li5GaS4,0
697,LiMgPO4,0
698,Li0.95Mg0.95In0.05PO4,0
699,Li0.9Mg0.9In0.1PO4,0
700,Li0.85Mg0.85In0.15PO4,0
701,Li0.83Mg0.83In0.17PO4,0
702,LiMgPO4,0
703,Li0.95Mg0.95In0.05PO4,0
704,Li0.9Mg0.9In0.1PO4,0
705,Li0.85Mg0.85In0.15PO4,0
706,Li0.83Mg0.83In0.17PO4,0
707,Li3AlS3,0
708,Li3AlS3,0
709,Li6SiO4Cl2,0
710,Li6SiO4Cl2,0
711,LiTa2PO8,1
712,LiTa2PO8,1
713,Li1.4S2.2P0.6,1
714,Li4.8Al0.8Si0.2S4,1
715,LiF,0
716,LiF,0
717,LiF,0
718,LiF,0
719,LiF,0
720,LiF,0
721,La0.561Li0.315Ti0.995Al0.0067O3,1
722,La0.561Li0.315Ti0.95Al0.067O3,1
723,Li2ZrS3,0
724,La0.55Li0.361Ti0.995Al0.005O3,1
725,LiPO3,0
726,Li6BaLa2Ta2O12 ,1
727, Li0.8La0.066Zr2(PO4)3,1
728,Li2P2S6,1
729,Li5Nd3Sb2O12,0
730,Li5La3Sb2O12,0
731,Li6La2Sr(Nb)2O12,1
732,Li6CaLa2Ta2O12,0
733,LiAlSi2O6,0
734,Li2.9Sc1.9Zr0.1(PO4)3,1
735,Li1.9Mg0.1TiO3.05,0
736,(YPO4)0.9(Li3PO4)0.1,0
737,(YPO4)0.7(Li3PO4)0.3,0
738,(YPO4)0.5(Li3PO4)0.5,0
739,LiGaSiO4,0
740,Li0.68Ga0.68Si2.33O6,0
741,Li0.96Ga0.96Si2.04O6,0
742,Li4Al0.33Si0.33P0.33O4,1
743,Li4.25Si0.75Al0.25O4,0
744,Li3.75Si0.75P0.25O4,0
745,Li4SiO4,0
746,LiSr2Ti2NbO9,0
747,Li3Cr(MoO4)3,0
748,Li2Mg2(MoO4)3,0
749,Li3Fe(MoO4)3,0
750,Li6FeCl8,0
751,Li3.6Ge0.4P0.6S4,1
752,Li3.35Ge0.35P0.65S4,1
753,Li6NiCl8,0
754,Li6CoCl8,0
755,LiF,0
