feature,importance
11,0.023946387080153963
18,0.020487668708291055
36,0.020153085478882074
19,0.020081066194882157
20,0.019961783775272596
29,0.019511466728225974
21,0.019312444811502943
7,0.019138081375910332
27,0.017516059729733958
34,0.01743674708167078
10,0.017435352683096275
16,0.017291390261733635
3,0.01704360786469799
2,0.01667251808020085
15,0.016567298012198525
25,0.016428761018546005
14,0.016389725426842652
6,0.01622124933181535
31,0.016108967987732384
4,0.01588784072753375
0,0.015784042196707638
1,0.014481371377036246
23,0.014261689960024544
28,0.013779814734909674
12,0.013759233177110048
5,0.013645025158755805
30,0.013174967533798572
22,0.012911913186240924
8,0.012385882771722817
24,0.011698728543596056
13,0.011109398868048697
26,0.010562313115739148
17,0.01023020319445216
32,0.010002659720260723
9,0.009761581364943263
33,0.00896468358439928
35,0.007230910501944835
