element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
In,22.40896,17.518072,23.16928,0.8274697,4.938441,0.0,0.0,0.0,20.622475,16.933182,14.122791,0.0,18.776287,0.0,30.338135,0.0,0.0,6.183963,0.0,19.268295,23.326288,29.98976,1.4953067,17.398678,5.006076,7.7436876,5.22986,8.776296,0.0,12.396733,0.0,11.788375,0.0,0.0,0.0,21.946426,23.512804,3.9429498,5.7659726,0.0,0.0,8.370956,18.913492,0.0,26.999292,18.976534,0.0,10.692788,19.949766,25.659033,0.0,27.729399,3.459463,24.317833,0.0,14.65454,23.027689,22.722902,23.938517,7.450044,23.934498,20.54437,5.534944,0.0,0.7934383,9.207564,6.4379244,18.622917,5.110878,0.0,7.109539,21.581968,10.900191,7.859685,3.2518892,20.117258,0.0,8.728383,0.0,0.0,0.0,0.0,17.82921,26.432882,0.0,0.0,24.9386,22.701483,17.10648,23.631474,4.533107,6.1136866,0.0,3.8989227,9.077127,25.392376,14.890919,20.648794,22.55975,21.208937,7.244496,0.0,23.951176,0.0,16.573717,20.451277,0.0,25.91146,5.3741627,0.0,0.0,18.514263,19.861551,14.143585,4.9774876,19.01696,20.435658,0.0,18.703737,24.838448,0.0,19.301535,0.0,22.36512,0.0,0.0,19.819382,19.67322,13.405944,0.0,5.9094706,3.946961,15.598229,0.0,0.0,12.504026,1.9095454,0.0,0.0,3.335232,3.7991312,7.64897,22.827644,0.0,0.0,25.755116,12.605152,0.0,0.0,18.148823,19.64801,17.741966,0.0,0.0,22.794544,21.821415,20.829315,0.0,0.0,3.8956106,7.2472663,26.29436,0.50024486,14.970659,17.627699,0.0,26.465034,21.713415,22.857319,10.443356,8.817871,0.0,4.5721693,25.396616,0.0,0.0,0.0,0.0,0.0,0.0,20.791594,0.0,9.376602,17.133854,0.0,20.671494,31.588419,3.2070973,0.0,23.793558,0.0,0.0,0.0,23.10054,0.0,17.389687,5.7434063,0.0,7.132217,0.0
S,20.435394,19.137041,24.582438,1.7691778,5.311,0.0,0.0,0.0,22.089449,18.134539,15.922271,0.0,16.391228,0.0,29.77995,0.0,0.0,8.631036,0.0,20.319935,22.925587,29.272799,0.010444939,19.904402,3.5698037,8.506461,8.374611,6.8194585,0.0,2.7378855,0.0,6.8111405,0.0,0.0,0.0,24.218845,24.667711,2.328373,0.012851343,0.0,0.0,6.5858445,17.761515,0.0,29.318172,15.402327,0.0,10.014481,18.534946,27.595327,0.0,22.397299,1.8337537,26.387825,0.0,15.62773,24.252417,25.56731,25.468931,6.363703,22.8744,24.96049,4.021837,0.0,0.5986299,12.490957,3.039484,18.120237,0.5078724,0.0,0.9566899,20.120842,4.014244,6.0459967,5.1949067,22.483107,0.0,0.6054852,0.0,0.0,0.0,0.0,17.451855,27.342785,0.0,0.0,22.669403,24.758747,20.779863,28.4045,10.323616,4.3621855,0.0,2.324942,7.1220016,23.176859,17.026346,22.933628,24.819304,21.797136,3.8891268,0.0,23.616192,0.0,18.606758,18.92263,0.0,27.800022,2.4302304,0.0,0.0,21.237406,22.829262,16.422693,7.2996993,18.483816,18.274216,0.0,21.574827,27.205833,0.0,21.16367,0.0,23.492586,0.0,0.0,18.785372,21.996851,14.218371,0.0,9.76254,0.37416306,19.741093,0.0,0.0,11.8112335,0.8275554,0.0,0.0,1.9126534,0.988507,4.304052,21.131857,0.0,0.0,23.716343,8.76491,0.0,0.0,16.231699,19.770275,18.809893,0.0,0.0,31.132963,26.932327,23.004375,0.0,0.0,3.720136,4.7541857,22.604033,0.0,16.592693,21.141653,0.0,30.744213,21.345526,23.767805,10.744076,8.009438,0.0,14.2361765,26.578697,0.0,0.0,0.0,0.0,0.0,0.0,19.149313,0.0,11.530222,21.69617,0.0,18.20004,31.371803,6.7178884,0.0,27.212627,0.0,0.0,0.0,23.435968,0.0,19.117636,2.0881689,0.0,0.006888017,0.0
N,22.456944,19.746284,23.275318,0.9419327,4.212215,0.0,0.0,0.0,20.748785,16.969048,13.930577,0.0,15.178899,0.0,28.102886,0.0,0.0,8.960101,0.0,22.036678,22.626106,29.570004,0.8741247,18.13848,6.2788453,7.9941545,4.370367,10.861563,0.0,10.060733,0.0,5.6248116,0.0,0.0,0.0,26.883923,23.278467,2.8794777,2.5256114,0.0,0.0,7.728755,18.488745,0.0,30.160122,18.669563,0.0,13.039559,19.957373,26.303398,0.0,21.654568,4.6117744,22.65325,0.0,14.959258,20.906324,23.765448,23.201918,3.97561,25.52976,22.642233,5.6460385,0.0,0.7570191,6.5896335,6.5942745,16.793869,4.374498,0.0,4.7226305,21.078833,3.7977488,8.236486,4.579262,21.0487,0.0,2.3507578,0.0,0.0,0.0,0.0,17.07376,26.570936,0.0,0.0,21.014742,20.811777,18.509596,24.621092,10.710428,6.178528,0.0,4.154403,8.058333,25.936857,16.424938,22.494926,24.680977,20.21698,4.820876,0.0,24.345547,0.0,16.722942,21.299858,0.0,27.144218,7.8717227,0.0,0.0,20.891327,22.042278,13.088841,4.4167676,21.360292,16.77931,0.0,19.17078,24.520237,0.0,20.186396,0.0,23.710884,0.0,0.0,22.276001,19.3233,16.047329,0.0,11.802321,0.19527213,21.365692,0.0,0.0,13.743011,1.4301118,0.0,0.0,4.0434885,3.2844257,6.8493347,21.935,0.0,0.0,26.00239,8.555848,0.0,0.0,19.089579,18.434711,20.133831,0.0,0.0,26.978083,26.79636,19.726278,0.0,0.0,4.314194,5.1641498,21.504967,0.016317599,13.00687,18.66304,0.0,27.74592,20.941072,21.204615,13.151708,13.262247,0.0,10.795636,25.495338,0.0,0.0,0.0,0.0,0.0,0.0,22.200703,0.0,13.631191,22.118126,0.0,18.584656,30.683365,4.195324,0.0,26.756603,0.0,0.0,0.0,25.739096,0.0,20.638372,5.1477838,0.0,2.040907,0.0
U,14.673234,17.699055,20.611742,3.320649,4.243524,0.0,0.0,0.0,21.142282,11.504713,9.166606,0.0,14.58785,0.0,26.763865,0.0,0.0,15.000742,0.0,17.885124,13.664907,26.366348,0.461487,16.277582,14.3008995,7.4707785,13.032327,6.895855,0.0,14.374751,0.0,0.01538077,0.0,0.0,0.0,23.59081,22.70016,0.0053610504,8.887418,0.0,0.0,11.8537245,16.25982,0.0,32.51763,19.798256,0.0,14.027541,18.286072,24.715528,0.0,19.779507,11.799098,17.652388,0.0,12.206773,17.062143,19.891226,20.620537,10.597143,24.042042,15.653024,1.9605919,0.0,0.6780978,0.0,10.566424,16.317324,13.502553,0.0,10.192679,20.948475,7.207101,8.44372,12.667994,18.160501,0.0,7.425393,0.0,0.0,0.0,0.0,17.54418,23.026995,0.0,0.0,21.20777,15.722037,9.054365,18.91004,7.266851,10.600253,0.0,13.735929,1.0124727,16.77491,9.920054,18.32473,25.864601,21.85327,10.465825,0.0,21.648443,0.0,13.336255,18.76897,0.0,24.75464,11.113002,0.0,0.0,15.849775,16.961666,10.319335,1.3546568,16.748571,14.979745,0.0,16.783838,18.96292,0.0,18.503187,0.0,20.86564,0.0,0.0,20.845922,14.510024,11.517699,0.0,4.2071495,3.8753407,12.084654,0.0,0.0,13.388439,0.03359662,0.0,0.0,12.631067,10.291951,3.514587,16.351746,0.0,0.0,22.912186,1.9056982,0.0,0.0,10.880959,19.523533,16.538841,0.0,0.0,30.501593,18.063059,14.437259,0.0,0.0,13.520933,0.044118457,19.68948,0.0,8.418356,19.998896,0.0,21.106613,15.723411,17.048826,13.705292,0.0056889057,0.0,7.8543754,20.52341,0.0,0.0,0.0,0.0,0.0,0.0,16.585371,0.0,6.991649,8.570594,0.0,19.079117,27.4253,0.0,0.0,23.122063,0.0,0.0,0.0,18.690565,0.0,14.267431,11.560371,0.0,8.239711,0.0
Mn,24.790447,20.432743,23.420462,2.6682613,5.5298014,0.0,0.0,0.0,23.314545,18.65984,15.860251,0.0,19.58909,0.0,30.033642,0.0,0.0,5.3392434,0.0,22.367897,28.206694,28.862242,0.18571326,19.662975,1.3621194,6.0843124,7.54058,4.608365,0.0,7.116552,0.0,11.694799,0.0,0.0,0.0,23.167961,25.667297,1.5162884,2.598678,0.0,0.0,2.744032,20.605688,0.0,29.093359,18.232674,0.0,7.850196,20.05367,27.63988,0.0,26.306671,0.6157097,25.988756,0.0,15.031514,24.95104,22.267347,25.771015,4.6252418,25.008831,24.267649,5.3563414,0.0,0.50510603,9.301117,4.735777,16.832676,0.8851226,0.0,1.8795004,22.669577,9.296579,6.8937793,3.5809324,22.94676,0.0,6.9806356,0.0,0.0,0.0,0.0,19.343756,26.511429,0.0,0.0,25.367622,25.098717,19.663206,24.943573,2.3253527,2.0807104,0.0,4.7578807,3.880276,25.47735,17.513857,19.792233,25.51101,23.868708,2.3790343,0.0,26.983433,0.0,15.294588,17.6495,0.0,26.792889,3.9689748,0.0,0.0,21.922165,24.159073,15.733564,3.4337893,22.771368,21.20347,0.0,20.61468,30.655901,0.0,22.429335,0.0,25.582735,0.0,0.0,21.900904,21.427773,12.103415,0.0,4.910663,0.5940595,15.455207,0.0,0.0,8.304721,1.4826953,0.0,0.0,0.21936011,1.9223735,3.5164871,19.262836,0.0,0.0,27.863806,13.117749,0.0,0.0,19.445198,21.853268,18.206572,0.0,0.0,29.860104,25.46537,23.473106,0.0,0.0,1.7308763,6.3816533,24.589817,0.0,19.25336,19.231907,0.0,31.086384,21.142752,24.332983,8.08232,3.1808233,0.0,8.79865,26.663902,0.0,0.0,0.0,0.0,0.0,0.0,21.085749,0.0,4.056037,19.231688,0.0,19.396297,31.116076,4.1839924,0.0,27.415382,0.0,0.0,0.0,27.33779,0.0,20.340698,1.8062885,0.0,3.4555452,0.0
Lu,11.898572,15.384152,15.464961,0.85666543,14.602981,0.0,0.0,0.0,16.24976,19.185152,14.276952,0.0,16.142763,0.0,17.31712,0.0,0.0,10.362498,0.0,13.4899645,16.62325,17.211308,0.68404007,15.518484,22.791304,17.410666,7.5884066,0.71556896,0.0,0.031627934,0.0,1.7391165,0.0,0.0,0.0,21.459494,16.913828,4.675931,15.283002,0.0,0.0,1.583263,13.561031,0.0,15.202948,10.627959,0.0,6.8142753,14.007802,11.543585,0.0,17.563112,14.022033,13.45205,0.0,13.611678,18.978283,7.2957296,12.9072695,9.377803,18.341095,16.6473,10.175676,0.0,1.1337528,8.854262,15.409058,8.078579,8.440444,0.0,6.8535643,16.098854,0.42058623,21.309057,12.347502,16.588076,0.0,7.072846,0.0,0.0,0.0,0.0,15.39851,15.202305,0.0,0.0,14.763426,19.805065,14.4496,20.36457,8.970774,10.676982,0.0,0.3009743,0.006361656,15.185319,11.435965,15.5982895,18.983486,20.81141,13.700875,0.0,17.086962,0.0,10.64492,15.808196,0.0,21.119043,16.681793,0.0,0.0,21.56205,15.91337,12.622636,16.865665,15.960638,14.293812,0.0,12.750522,11.191121,0.0,13.840609,0.0,20.059366,0.0,0.0,13.917548,10.210824,5.2945714,0.0,12.049826,15.252765,15.096025,0.0,0.0,16.030104,4.7643957,0.0,0.0,7.2272863,11.059848,6.388579,10.671422,0.0,0.0,18.709764,7.8608828,0.0,0.0,12.205342,13.296639,17.285503,0.0,0.0,18.646694,19.852442,14.991909,0.3631315,0.0,20.253626,0.009029917,19.054314,0.0,9.247768,12.587509,0.0,19.421766,17.463776,19.373913,0.0069956183,2.3219876,0.0,3.9166598,14.699852,0.0,0.0,0.0,0.0,0.0,0.0,18.891993,0.0,0.012858123,15.103615,0.0,13.909731,17.684393,0.08915273,0.0,10.863419,0.0,0.0,0.0,20.372232,0.0,11.2619,12.619898,0.0,23.051624,0.0
Se,22.24549,17.536154,22.727203,1.000507,10.620123,0.0,0.0,0.0,17.825035,19.690197,13.617661,0.0,16.555805,0.0,25.298,0.0,0.0,6.6813126,0.0,20.100859,21.215485,28.322046,0.007428661,17.838898,10.387914,11.35454,11.804191,9.723678,0.0,3.3312984,0.0,8.552445,0.0,0.0,0.0,21.20351,23.735634,3.1088972,0.99793184,0.0,0.0,6.322164,14.040991,0.0,23.187609,13.674627,0.0,9.698409,17.646477,23.154434,0.0,18.84285,5.1249228,23.278465,0.0,14.41727,22.390125,20.762522,22.160686,5.632274,23.273582,20.783642,4.1366377,0.0,0.94709164,14.002011,2.9201975,16.765587,2.7330482,0.0,4.026812,19.082535,6.551616,9.539295,8.504314,19.847149,0.0,3.5392594,0.0,0.0,0.0,0.0,17.41791,24.896236,0.0,0.0,21.34613,22.916622,19.241243,27.917606,14.192823,3.61676,0.0,5.2770095,9.429049,23.917671,16.650692,22.181988,21.411352,22.392443,4.511264,0.0,21.563272,0.0,16.647772,19.519924,0.0,23.243416,5.661568,0.0,0.0,19.571333,21.643122,15.012587,6.280054,17.109085,15.473799,0.0,17.690147,23.378807,0.0,20.30144,0.0,26.997507,0.0,0.0,14.880502,19.748856,15.03497,0.0,11.130987,2.0635812,16.443035,0.0,0.0,13.411712,0.22399335,0.0,0.0,1.9823508,3.0378287,10.001667,18.497606,0.0,0.0,23.049414,7.105404,0.0,0.0,14.847167,21.429695,16.323908,0.0,0.0,26.056936,26.538609,24.083464,0.0,0.0,4.61941,4.8255086,23.502548,0.020568185,13.902217,19.984291,0.0,27.772507,21.306469,21.080547,9.430813,13.045267,0.0,14.365908,25.946117,0.0,0.0,0.0,0.0,0.0,0.0,18.722933,0.0,13.069479,23.693905,0.0,17.049925,27.230703,4.03789,0.0,27.717241,0.0,0.0,0.0,23.1569,0.0,21.075087,4.714909,0.0,1.7233706,0.0
Tl,15.3434725,15.295704,19.935719,1.9416866,8.160687,0.0,0.0,0.0,18.149807,14.731781,12.7209,0.0,15.553166,0.0,23.593037,0.0,0.0,0.44775575,0.0,18.340014,21.20528,20.396122,1.4947805,16.168339,9.441597,11.128795,7.4079423,17.120918,0.0,15.282437,0.0,7.4394126,0.0,0.0,0.0,22.59915,20.088089,4.0184255,10.935104,0.0,0.0,4.2330866,18.8431,0.0,21.842625,19.650597,0.0,10.438787,16.241741,19.215141,0.0,25.406826,4.2612624,20.944666,0.0,15.52447,21.941923,21.216345,22.284758,7.6569824,23.805298,17.961288,7.398261,0.0,0.98491997,13.412858,6.5282474,15.1436405,8.688951,0.0,7.45588,21.835346,8.9937525,15.756624,3.3307416,19.058962,0.0,2.9379213,0.0,0.0,0.0,0.0,19.663366,25.88663,0.0,0.0,24.231989,17.40251,19.27756,22.626091,9.307367,14.668219,0.0,5.055735,3.6137478,21.59576,12.14602,19.91473,19.062195,23.207472,8.946156,0.0,20.786715,0.0,14.661512,14.153629,0.0,20.551102,6.755855,0.0,0.0,16.288605,19.469332,9.273092,2.0136771,18.353943,20.659876,0.0,17.631502,23.316654,0.0,15.860301,0.0,21.360718,0.0,0.0,13.3671665,19.39616,10.000767,0.0,7.307952,7.9503207,16.65111,0.0,0.0,13.81876,0.975592,0.0,0.0,3.6691942,7.816655,11.31045,18.015823,0.0,0.0,24.797892,9.639154,0.0,0.0,13.296327,16.754456,15.11885,0.0,0.0,25.799833,21.602533,24.466711,0.0,0.0,7.1127453,4.138497,22.76697,0.10292717,16.41045,20.444221,0.0,26.117796,17.226269,19.191988,12.706441,7.4492235,0.0,10.738482,24.277142,0.0,0.0,0.0,0.0,0.0,0.0,17.994879,0.0,13.295598,14.895073,0.0,18.846302,27.635044,0.2734836,0.0,20.150255,0.0,0.0,0.0,19.414385,0.0,14.836498,8.818992,0.0,8.703598,0.0
Hf,14.641099,12.532806,16.98262,2.2595682,3.1807141,0.0,0.0,0.0,17.311363,12.984379,11.816751,0.0,12.266,0.0,22.980991,0.0,0.0,6.6470165,0.0,17.187843,13.422903,20.561573,0.00470376,16.347004,13.734647,17.063871,9.306879,2.059843,0.0,10.177865,0.0,3.379279,0.0,0.0,0.0,18.646458,16.607227,2.4281235,14.609111,0.0,0.0,0.07910748,11.167771,0.0,17.999748,12.794794,0.0,12.649434,15.415495,22.290869,0.0,14.925172,18.736313,15.83551,0.0,8.024161,17.499903,22.32102,23.428774,11.092248,17.702944,20.136082,23.406664,0.0,0.6455247,0.0,4.787178,15.762059,8.408828,0.0,19.058712,15.183949,12.558761,14.048305,12.591539,13.460441,0.0,14.719022,0.0,0.0,0.0,0.0,12.028977,16.079521,0.0,0.0,14.34669,11.025519,14.075799,15.9662285,4.267685,6.466856,0.0,10.305493,12.078841,19.822733,13.533716,18.545008,18.468958,18.881485,5.759607,0.0,11.253538,0.0,14.161623,18.935198,0.0,23.047771,14.514889,0.0,0.0,13.61917,19.371317,9.015609,9.270724,12.985595,16.888418,0.0,16.169363,13.498823,0.0,17.593609,0.0,13.651347,0.0,0.0,7.292474,12.808402,13.532847,0.0,2.7077687,10.802845,9.427282,0.0,0.0,6.988873,3.7526567,0.0,0.0,12.830192,10.255355,23.311125,14.178647,0.0,0.0,25.50059,0.003321814,0.0,0.0,14.62707,12.572547,12.5990305,0.0,0.0,20.61346,13.352175,21.331127,0.0,0.0,14.770483,10.411583,17.881258,0.0,14.1008835,19.634426,0.0,21.124273,14.374644,18.02208,7.4155645,0.0008621216,0.0,0.79956275,16.252161,0.0,0.0,0.0,0.0,0.0,0.0,16.3894,0.0,11.058727,10.999572,0.0,9.807815,23.678638,0.038612522,0.0,22.323397,0.0,0.0,0.0,16.740519,0.0,13.887159,8.971778,0.0,5.942787,0.0
Ir,16.599741,15.600775,15.467382,2.1707888,14.868513,0.0,0.0,0.0,16.492176,14.200563,12.110964,0.0,15.210618,0.0,19.202208,0.0,0.0,0.030262178,0.0,16.426876,17.147282,24.03197,0.013162211,18.793932,6.8667455,10.376943,0.0,7.1181073,0.0,9.610483,0.0,11.803898,0.0,0.0,0.0,18.82384,14.8555565,0.51741433,3.26002,0.0,0.0,21.916912,13.836955,0.0,24.291557,16.22982,0.0,7.651789,16.411867,15.281738,0.0,14.576217,5.439704,16.649506,0.0,13.666387,14.58559,13.8286295,16.588684,9.345284,22.89529,14.859565,0.38231078,0.0,0.32435054,10.194304,11.921387,13.081947,11.913558,0.0,15.18776,17.343878,15.552162,13.418634,9.099939,17.09214,0.0,17.256565,0.0,0.0,0.0,0.0,10.243195,19.651978,0.0,0.0,14.719817,12.861715,10.007906,14.17957,1.133721,7.605264,0.0,13.077022,26.26642,20.710213,13.867685,20.884268,16.445799,18.73774,9.908655,0.0,15.199202,0.0,16.70585,17.098415,0.0,18.9309,10.29819,0.0,0.0,14.094744,15.753763,10.450451,11.73502,19.070997,19.200651,0.0,10.214704,18.043364,0.0,15.801346,0.0,19.02984,0.0,0.0,16.139652,14.790241,8.23644,0.0,0.38081202,12.002192,13.2693815,0.0,0.0,15.4577055,1.1480082,0.0,0.0,8.252712,9.375946,14.250306,14.735925,0.0,0.0,21.58371,21.884064,0.0,0.0,13.6779785,17.891613,10.367078,0.0,0.0,20.237995,13.004344,27.023119,0.0,0.0,8.648043,1.8606554,18.148312,1.0498785,11.974893,27.155842,0.0,16.925964,19.451208,17.463886,7.2850575,1.5177053,0.0,7.264289,19.955507,0.0,0.0,0.0,0.0,0.0,0.0,19.576342,0.0,1.976292,14.687022,0.0,14.642045,22.495699,0.45190397,0.0,17.253809,0.0,0.0,0.0,22.61411,0.0,12.289981,2.785824,0.0,6.9053693,0.0
Ca,24.680784,21.1212,21.86849,2.0852108,3.1230538,0.0,0.0,0.0,21.551462,18.206442,14.150243,0.0,18.466202,0.0,28.385632,0.0,0.0,11.74235,0.0,22.139877,24.416828,31.01165,1.9405415,19.332247,5.679644,3.7445495,5.5685863,5.2379947,0.0,4.6520467,0.0,5.369771,0.0,0.0,0.0,25.909872,24.313879,2.4039845,0.9729905,0.0,0.0,1.3416642,18.873163,0.0,30.002525,18.172346,0.0,11.418394,20.531471,28.50079,0.0,25.23911,5.2396927,25.742441,0.0,17.346052,22.19622,22.715565,26.45155,3.8581505,27.415161,24.444874,4.030911,0.0,0.32457,7.0641828,1.7120125,19.01328,5.00015,0.0,1.6497765,22.774673,2.1904871,7.7176905,5.0346828,23.15377,0.0,2.2931976,0.0,0.0,0.0,0.0,17.748882,28.424479,0.0,0.0,21.107384,25.227411,21.75164,27.118597,6.5806794,4.0048146,0.0,5.1507974,5.19054,25.11698,16.49888,22.02349,24.865944,24.572329,2.8040028,0.0,26.410063,0.0,16.630873,23.142033,0.0,26.227386,9.082771,0.0,0.0,20.31561,23.570087,12.289337,4.1335235,21.848148,20.62558,0.0,16.750711,28.993565,0.0,22.52698,0.0,27.524485,0.0,0.0,20.14255,19.968937,14.726136,0.0,8.174798,0.40811232,16.733189,0.0,0.0,10.985622,0.41424525,0.0,0.0,1.2328379,0.0022962727,2.5495806,24.106375,0.0,0.0,24.872276,6.6112814,0.0,0.0,19.526398,22.348534,18.124466,0.0,0.0,29.736803,27.647364,18.950703,0.0,0.0,4.5305457,5.0102105,24.021523,0.0,14.04925,21.810171,0.0,30.219357,22.712786,22.52709,10.8267565,5.7086067,0.0,9.322127,28.658148,0.0,0.0,0.0,0.0,0.0,0.0,23.317043,0.0,6.416067,21.367596,0.0,17.933813,29.343992,3.5764155,0.0,29.388031,0.0,0.0,0.0,27.625288,0.0,21.103834,1.7932575,0.0,2.4807394,0.0
Ta,18.34318,16.649517,20.170366,2.7266762,6.632441,0.0,0.0,0.0,21.224972,13.381811,12.593067,0.0,14.216239,0.0,27.84285,0.0,0.0,1.0217009,0.0,18.489658,23.163872,24.889513,2.2624688,13.39434,3.2830038,3.1686616,12.337051,3.6812959,0.0,8.952809,0.0,7.938847,0.0,0.0,0.0,23.109985,19.534697,0.0,7.8458457,0.0,0.0,0.89425665,16.804474,0.0,25.45296,15.1472435,0.0,8.873739,16.36781,23.513668,0.0,19.061295,10.483449,17.023466,0.0,12.532947,23.234776,22.080364,24.227098,12.319591,19.456171,18.210781,11.380632,0.0,0.46724403,9.4059,6.641844,14.21069,10.232564,0.0,6.7701116,19.621035,12.611608,7.1622148,6.0798287,19.533804,0.0,13.503916,0.0,0.0,0.0,0.0,16.9283,24.607113,0.0,0.0,23.766527,21.536036,14.765398,18.718454,1.6440688,8.59237,0.0,12.531587,0.83511776,25.40922,13.243704,18.311651,20.775972,15.598907,5.66693,0.0,18.686878,0.0,20.583311,21.663189,0.0,24.267141,12.027046,0.0,0.0,15.498288,17.667469,14.481474,3.870625,21.64122,15.080647,0.0,15.63681,23.538885,0.0,18.615604,0.0,23.652096,0.0,0.0,14.732836,16.029629,11.905387,0.0,4.724763,8.683252,10.871284,0.0,0.0,13.268221,0.03064309,0.0,0.0,8.681541,9.896835,17.495413,15.400179,0.0,0.0,25.695807,5.69034,0.0,0.0,17.393995,18.58442,16.572323,0.0,0.0,21.873405,20.545174,25.148424,0.0,0.0,7.132172,5.2027717,26.104462,0.0022697523,22.694971,19.767347,0.0,26.438084,14.840396,19.204695,5.514131,9.788736,0.0,7.3894215,20.268002,0.0,0.0,0.0,0.0,0.0,0.0,17.387135,0.0,2.8230696,12.995075,0.0,15.827452,27.771128,2.796013,0.0,26.259556,0.0,0.0,0.0,22.080591,0.0,15.086887,8.536784,0.0,11.962185,0.0
Cr,22.51631,15.876682,20.834864,1.5289448,12.309553,0.0,0.0,0.0,20.486042,14.630112,16.56978,0.0,16.211395,0.0,24.645805,0.0,0.0,5.9597435,0.0,19.101688,24.101118,25.632624,0.37896538,18.215698,5.6313977,2.1240146,5.4282866,3.9715195,0.0,7.4991856,0.0,8.947927,0.0,0.0,0.0,20.740963,21.641745,6.783475,9.987117,0.0,0.0,6.1473904,17.959558,0.0,25.630455,15.971657,0.0,5.8303385,21.978432,24.702864,0.0,19.282299,6.4573927,23.318102,0.0,14.980275,24.06694,18.111378,22.378653,10.171561,19.609493,21.93012,2.533934,0.0,2.463549,8.876688,10.03053,15.370012,1.078886,0.0,7.1265626,16.753054,17.79622,11.535357,12.596519,21.071112,0.0,16.411314,0.0,0.0,0.0,0.0,15.216735,22.33181,0.0,0.0,18.349257,21.890812,19.62514,19.61255,1.7794315,5.972931,0.0,12.485052,10.409825,16.651705,15.500778,20.263266,19.320787,18.001581,4.9916196,0.0,21.685213,0.0,16.523655,14.132739,0.0,21.42988,7.794866,0.0,0.0,19.847689,23.641647,15.035337,9.27668,21.9663,16.144796,0.0,17.081919,26.765726,0.0,20.452524,0.0,21.723808,0.0,0.0,13.130489,16.581987,9.649838,0.0,10.407069,8.135421,12.100752,0.0,0.0,6.348512,7.318301,0.0,0.0,9.105963,8.232798,8.967356,12.912938,0.0,0.0,23.949385,11.226776,0.0,0.0,15.478527,17.599525,14.225654,0.0,0.0,24.30857,21.053308,19.309841,0.0,0.0,7.207676,4.1658683,24.533407,0.015422307,20.229677,15.462253,0.0,23.976519,16.034414,23.003004,9.800168,1.9081047,0.0,2.7756193,22.161997,0.0,0.0,0.0,0.0,0.0,0.0,22.894344,0.0,0.015479118,12.854071,0.0,16.392124,29.422873,6.0880146,0.0,19.812098,0.0,0.0,0.0,22.210794,0.0,11.541731,1.3911453,0.0,7.869589,0.0
K,23.52635,21.156046,23.290615,1.4813232,0.32549858,0.0,0.0,0.0,22.357595,16.846462,15.463252,0.0,17.564095,0.0,29.81926,0.0,0.0,13.984444,0.0,22.127106,24.942305,33.686523,2.5290723,16.999393,6.0771804,2.507469,0.53994334,5.733924,0.0,8.200313,0.0,2.7664044,0.0,0.0,0.0,26.85193,23.755342,3.1399164,4.363896,0.0,0.0,3.9911425,19.041006,0.0,31.559742,21.425997,0.0,13.898785,22.378529,29.708506,0.0,24.393661,4.144749,23.26808,0.0,17.682775,22.639286,21.552607,25.08817,1.7052957,27.744583,22.794716,5.8566155,0.0,0.93838596,1.7606764,5.720955,20.920649,5.236907,0.0,5.17062,23.012077,0.95731676,7.8004847,3.6212182,22.106546,0.0,1.5980675,0.0,0.0,0.0,0.0,19.751293,29.284828,0.0,0.0,20.174952,24.315557,20.507483,26.204382,8.527325,5.904134,0.0,1.0918201,5.165441,24.712416,15.310856,23.46145,26.774239,25.469429,1.3445604,0.0,28.52555,0.0,16.458368,24.152895,0.0,27.824097,7.6982837,0.0,0.0,19.648764,20.473377,10.665987,0.4461483,24.376825,20.406363,0.0,16.358976,26.990797,0.0,23.140089,0.0,26.572569,0.0,0.0,21.214329,20.119904,16.10884,0.0,9.314007,0.44440892,17.718616,0.0,0.0,12.583396,0.22298147,0.0,0.0,3.1345613,2.050147,6.7528467,25.14012,0.0,0.0,24.35384,3.2305017,0.0,0.0,17.877409,22.263975,20.861378,0.0,0.0,27.577944,27.10735,14.818792,0.0,0.0,5.41435,8.924609,24.25489,0.0,15.239221,18.033445,0.0,28.157276,20.805729,23.722897,15.218896,6.8504977,0.0,5.8291025,27.997248,0.0,0.0,0.0,0.0,0.0,0.0,21.894575,0.0,6.677437,22.994816,0.0,19.133816,31.323248,4.010593,0.0,26.52864,0.0,0.0,0.0,26.697142,0.0,21.308771,4.0066724,0.0,1.9618245,0.0
