element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
N,5.82341,9.254479,0.0,19.523699,7.115444,0.0,5.269366,41.444885,52.516857,0.0,0.0,35.574673,39.303513,0.0,37.534588,0.0,37.271446,35.685688,0.0,39.917927,31.753551,0.0,34.22736,38.35256,21.556269,40.437862,45.204494,27.52472,11.029564,44.43321,0.0,43.716694,10.616558,17.879478,0.0,9.716836,35.50877,0.0,16.573244,32.973152,37.101593,0.0,43.944435,38.2868,9.925937,42.650078,0.0,0.0,38.964,42.75459,0.0
U,16.542921,20.316568,0.0,30.062935,15.169532,0.0,3.0008836,37.622437,44.87827,0.0,0.0,27.509481,29.774786,0.0,30.23236,0.0,29.430141,30.706486,0.0,31.811813,31.982222,0.0,27.34486,33.987503,17.341118,37.012543,34.328354,36.37316,10.271026,34.661335,0.0,36.334785,15.4499655,9.760036,0.0,18.245571,30.626328,0.0,7.171569,27.478249,27.976519,0.0,33.837574,31.99648,25.677841,27.285583,0.0,0.0,37.134422,34.10152,0.0
Mn,2.1013074,1.7030212,0.0,15.739702,12.638403,0.0,11.34606,40.5925,55.18723,0.0,0.0,39.54176,41.40716,0.0,38.50454,0.0,39.09678,41.029243,0.0,41.470306,36.736027,0.0,37.79489,43.628662,22.267473,45.5478,45.34541,29.662703,1.1774902,50.832264,0.0,42.61549,0.086678386,16.005476,0.0,7.198195,42.865097,0.0,5.612313,39.068485,37.275288,0.0,42.645573,41.502438,8.3042555,43.374084,0.0,0.0,39.14198,44.995922,0.0
Lu,22.12718,23.169725,0.0,36.01683,21.838991,0.0,7.27292,27.816683,46.088486,0.0,0.0,23.506847,21.486475,0.0,26.79449,0.0,23.795702,23.157614,0.0,20.059341,28.273563,0.0,22.022673,21.085115,19.259275,28.082937,25.764706,35.114773,16.681038,33.00718,0.0,25.887106,14.8541565,0.0030953884,0.0,20.467403,24.38103,0.0,15.701678,22.368736,20.406975,0.0,27.879663,25.909542,30.680395,31.556599,0.0,0.0,23.841791,28.493795,0.0
Se,7.2146077,10.85059,0.0,19.355003,4.8187532,0.0,10.35776,39.02377,55.70577,0.0,0.0,32.385315,38.409607,0.0,33.032818,0.0,30.63395,35.511795,0.0,35.435757,30.650074,0.0,31.90089,37.23341,18.172739,38.640095,39.294518,31.001482,14.155669,41.472427,0.0,41.25708,10.033058,20.375774,0.0,12.791198,34.255177,0.0,17.763308,33.17374,33.225815,0.0,41.0998,36.708195,11.702238,40.065235,0.0,0.0,34.635586,39.57815,0.0
Tl,8.121165,12.095668,0.0,25.404644,11.694614,0.0,12.099889,31.654522,50.282784,0.0,0.0,33.785892,33.77551,0.0,31.547516,0.0,25.194767,33.72002,0.0,32.048058,30.034279,0.0,32.104507,34.712246,16.660046,38.831703,36.1072,35.92181,16.958506,35.655327,0.0,37.741177,11.433805,23.807013,0.0,10.927276,33.896038,0.0,11.1019335,28.747757,32.711956,0.0,33.30329,32.481396,14.526461,35.776127,0.0,0.0,33.30558,38.065884,0.0
Hf,19.804583,21.749132,0.0,30.240646,20.993063,0.0,13.508639,29.675165,41.929836,0.0,0.0,26.373184,25.273218,0.0,21.607622,0.0,26.420763,26.527454,0.0,23.915894,28.451635,0.0,26.744535,32.560265,15.486509,29.322855,23.786009,38.084633,15.641784,31.528465,0.0,31.694405,15.472814,11.471731,0.0,21.164507,30.377653,0.0,5.222708,23.934742,26.112913,0.0,25.62707,28.011448,17.755234,18.813192,0.0,0.0,25.1545,30.540195,0.0
Ir,6.3871393,14.467902,0.0,13.400142,23.227062,0.0,33.515594,37.651127,42.33337,0.0,0.0,27.450409,27.10131,0.0,24.791359,0.0,21.764572,24.45912,0.0,26.888063,28.731085,0.0,26.586569,36.023964,10.867743,31.329256,28.858362,28.710009,13.429306,28.404465,0.0,33.855743,13.198909,28.194107,0.0,21.826395,29.815859,0.0,7.48072,23.884747,27.278286,0.0,29.225208,26.263094,19.432863,27.484041,0.0,0.0,25.17953,27.440523,0.0
Ca,4.4484353,4.8305736,0.0,17.805527,6.324618,0.0,3.2318256,44.916832,55.33978,0.0,0.0,37.38216,42.72865,0.0,37.30214,0.0,39.24159,38.17459,0.0,43.748745,35.645294,0.0,35.641926,40.99597,23.250881,43.788204,47.49077,29.862928,2.6482837,48.63897,0.0,46.420555,8.008069,10.742192,0.0,8.292496,40.336693,0.0,8.89266,35.545322,37.877796,0.0,46.34377,41.754765,8.873048,42.0831,0.0,0.0,43.155563,44.151814,0.0
Ta,12.344323,14.713489,0.0,27.046375,21.080473,0.0,16.382174,34.58109,43.865818,0.0,0.0,31.587421,30.260899,0.0,32.801357,0.0,33.37734,32.33827,0.0,34.260384,32.157387,0.0,32.146755,39.929016,16.2952,38.08817,32.150784,32.224228,6.743893,39.002056,0.0,36.146446,9.401642,14.256443,0.0,16.750736,34.733276,0.0,2.7128246,29.364351,31.591917,0.0,31.418056,33.366646,20.6679,34.627895,0.0,0.0,36.258987,37.128803,0.0
Cr,10.616745,10.766412,0.0,21.770464,20.420742,0.0,22.267332,35.518642,48.467815,0.0,0.0,35.10211,31.110086,0.0,33.58872,0.0,30.349628,33.077885,0.0,33.551693,29.651407,0.0,29.013788,36.22988,16.109486,38.750847,34.740326,32.772438,3.6884193,40.610268,0.0,35.714348,6.768729,16.003933,0.0,19.128708,37.456577,0.0,4.2748017,29.053331,29.286488,0.0,35.273186,36.001408,21.274946,34.039394,0.0,0.0,32.239094,35.558556,0.0
K,5.353649,5.5294566,0.0,19.672615,6.507531,0.0,0.0,45.39962,54.579285,0.0,0.0,37.475544,41.0927,0.0,37.729176,0.0,40.027885,36.438072,0.0,43.621693,33.24728,0.0,35.07422,39.445484,24.403831,46.263058,49.433975,30.264193,2.7030313,46.21529,0.0,47.782516,9.447772,10.277441,0.0,5.520744,38.73304,0.0,11.702924,31.789177,39.520557,0.0,47.33844,40.178326,6.51888,41.43181,0.0,0.0,45.297615,44.29824,0.0
Pm,2.1291897,1.9759393,0.0,1.9175901,2.07467,0.0,2.9426785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9286292,4.344154e-05,0.0,0.0,2.868279,2.6941862,0.0,2.132246,0.0,3.3724816,2.1097987,0.0,0.0,0.0,0.0,0.0,2.3868306,0.0,3.282676,0.0,0.0,0.0,0.0
Mg,4.529695,3.6107602,0.0,18.472801,15.622847,0.0,13.104932,40.133183,53.14214,0.0,0.0,38.99648,38.688972,0.0,37.085804,0.0,35.832634,38.364876,0.0,40.7974,35.777958,0.0,36.45022,42.215,21.105131,44.345036,43.772507,30.536755,2.3166142,47.428967,0.0,41.395123,2.724269,16.549988,0.0,10.2422085,39.306385,0.0,5.525287,37.60805,36.035793,0.0,42.143475,40.143227,9.741413,40.468708,0.0,0.0,38.769577,42.510952,0.0
Zn,2.8825173,3.43888,0.0,17.912613,15.712766,0.0,11.600026,40.242897,52.034134,0.0,0.0,38.339314,39.883915,0.0,38.363506,0.0,36.435005,38.208332,0.0,40.943195,33.552197,0.0,37.814068,41.442398,24.190624,45.425823,46.05103,28.97006,4.2519245,45.34639,0.0,43.4149,4.098132,18.366627,0.0,7.4083014,39.00289,0.0,10.382829,35.636806,39.16229,0.0,40.579075,39.91066,8.511463,41.74424,0.0,0.0,39.585567,44.302723,0.0
Cu,0.0,0.22862253,0.0,14.096325,9.841951,0.0,8.704294,43.199974,56.761997,0.0,0.0,40.164192,42.39241,0.0,38.854374,0.0,36.996696,39.8688,0.0,43.31714,36.26427,0.0,37.972168,43.623314,23.404068,44.297367,48.359566,28.700249,1.0397669,50.86562,0.0,43.905224,1.8691717,15.437546,0.0,4.142514,40.03925,0.0,7.7186394,37.57487,37.338696,0.0,45.479946,42.482567,4.980784,43.707615,0.0,0.0,41.050346,44.888435,0.0
Sn,3.8093174,7.9270535,0.0,17.59331,12.910553,0.0,12.121768,40.155724,51.290993,0.0,0.0,36.15103,38.82722,0.0,36.87179,0.0,35.13964,35.51667,0.0,39.847885,33.62315,0.0,34.8114,41.95002,21.14881,42.54539,44.285362,30.926336,10.448013,42.634594,0.0,41.87066,8.214901,21.2444,0.0,9.469944,36.911526,0.0,14.670818,32.873123,37.739563,0.0,40.472397,36.109562,9.39929,39.613197,0.0,0.0,36.80323,42.784733,0.0
Ti,5.710641,6.8286185,0.0,19.438599,17.70041,0.0,15.219498,38.637432,53.123974,0.0,0.0,37.453205,37.341846,0.0,37.50978,0.0,36.331936,38.290043,0.0,39.85833,34.732563,0.0,34.431217,43.03012,19.015749,41.38234,42.220085,32.685574,2.1139483,46.88384,0.0,41.3012,2.2349854,16.331905,0.0,11.382525,41.661762,0.0,3.2674754,38.329983,34.48645,0.0,38.95684,37.48649,12.423887,38.788197,0.0,0.0,35.935364,41.90404,0.0
B,4.6384525,11.670665,0.0,19.633589,1.7272129,0.0,8.774817,38.937305,48.40418,0.0,0.0,31.147532,36.120564,0.0,30.817616,0.0,31.074993,30.848057,0.0,31.044764,26.551363,0.0,30.581087,33.56402,20.053272,37.115467,37.43606,28.157326,23.303003,33.915264,0.0,43.325397,11.555388,30.593483,0.0,8.704794,30.63039,0.0,23.457235,25.742537,33.07379,0.0,37.696533,34.228344,8.411925,39.673985,0.0,0.0,31.635014,37.926773,0.0
W,11.242371,11.288433,0.0,24.110605,12.465045,0.0,12.994586,39.518173,45.709812,0.0,0.0,33.618664,33.007484,0.0,33.079456,0.0,35.549156,34.142723,0.0,39.397614,28.70693,0.0,31.815584,36.182705,19.732418,41.372456,37.260155,36.94757,5.950181,45.320812,0.0,38.335754,9.376105,14.337176,0.0,13.466919,36.387672,0.0,9.678402,34.169777,32.15495,0.0,36.679195,36.861702,17.682747,38.637714,0.0,0.0,37.024185,38.898758,0.0
P,5.5729136,12.589277,0.0,18.048418,7.9430733,0.0,13.357278,34.60332,50.675823,0.0,0.0,31.056225,36.24508,0.0,32.573265,0.0,30.144596,32.550705,0.0,31.633064,25.710659,0.0,31.09288,33.3186,18.608969,35.197414,40.418472,28.416594,21.255386,34.79666,0.0,37.952377,11.567767,30.349367,0.0,11.21714,30.444277,0.0,22.55099,28.236076,34.49769,0.0,37.06952,29.945307,12.571865,38.684975,0.0,0.0,31.64436,36.56954,0.0
H,6.1080885,12.881853,0.0,22.252151,0.6174765,0.0,6.8832374,37.337128,51.42689,0.0,0.0,27.284859,33.33312,0.0,29.930536,0.0,26.81623,31.346588,0.0,29.500702,26.162493,0.0,27.951002,32.244164,17.130077,34.483017,36.58423,29.783081,26.565939,34.749653,0.0,41.772278,13.504226,26.859812,0.0,11.189593,27.762037,0.0,22.649313,24.46592,31.678707,0.0,38.188805,32.93941,8.455996,38.825867,0.0,0.0,29.57702,35.70004,0.0
Pd,6.2019176,10.006729,0.0,19.732687,14.282953,0.0,14.551774,39.60282,48.05432,0.0,0.0,31.830626,33.23174,0.0,33.27016,0.0,29.965275,32.390793,0.0,33.48713,31.87775,0.0,33.04881,37.735268,20.214167,39.365555,37.882885,26.754398,13.533969,36.570232,0.0,41.1319,10.834751,26.025597,0.0,13.623614,33.91305,0.0,15.9545965,29.772535,33.268055,0.0,37.17155,35.582775,12.32391,35.983112,0.0,0.0,34.5435,36.369267,0.0
As,6.697492,12.04342,0.0,18.156126,9.151164,0.0,12.559525,35.136738,52.03359,0.0,0.0,31.295326,38.180088,0.0,32.329144,0.0,31.017292,32.81694,0.0,32.39447,26.144241,0.0,32.30674,38.540573,17.572409,35.023426,39.038837,30.543938,17.247374,38.41142,0.0,39.44625,13.4296665,24.60748,0.0,14.036429,31.17416,0.0,19.123598,29.972878,34.84389,0.0,37.89785,32.662437,14.343317,36.29637,0.0,0.0,35.086052,36.218117,0.0
Co,2.4463677,1.6954228,0.0,16.312832,12.741187,0.0,11.204172,40.668945,51.9675,0.0,0.0,38.686146,42.423824,0.0,38.440006,0.0,38.046185,39.408684,0.0,42.03354,36.51514,0.0,37.32209,41.810623,23.273693,44.392178,45.609932,29.932304,0.56499016,48.45918,0.0,43.998913,0.7618178,17.734436,0.0,7.4845877,40.675488,0.0,7.788963,36.764687,37.975964,0.0,43.64747,40.790943,8.128591,42.847214,0.0,0.0,39.636494,43.192287,0.0
Np,27.888556,34.73775,0.0,19.333323,25.669008,0.0,10.845604,5.6242013,36.404327,0.0,0.0,5.993711,1.0229052,0.0,9.736343,0.0,1.1916411,7.870007,0.0,4.0477276,8.142728,0.0,8.591435,4.3630705,0.0016004194,8.75765,0.8143289,20.675013,23.661552,1.6056392,0.0,4.7199445,16.834566,0.0023696423,0.0,19.795382,3.9601877,0.0,5.2871504,1.8191514,6.68796,0.0,5.501673,9.4273615,20.263065,6.384043,0.0,0.0,7.1723247,4.6186013,0.0
