elements,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Na,0.07607303683170963,0.055453225886766364,0.05870774063438868,0.05096479907713267,0.052607113217255655,0.0710719994356568,0.07639114810696027,0.08965396617259007,0.08789776669377782,0.1315408070111378,0.10438156256743099,0.14049965973409462,0.14836872790346486,0.12706427290985442,0.06394706375421212,0.08977786445798162,0.09614673759689309,0.14128827576476896,0.21435237439208643,0.17066066360150767,0.07903321742161463,0.09121615599116976,0.04395279847959241,0.14667637807691702,0.029422054210168157,0.05488527644530042,0.058923021063289595,0.03571311434594254,0.0628657070061582,0.056372375387986305,0.020221396916029047,0.032372607764701966,0.03256206118146968,0.12858361412186556,0.027895637957076756,0.05427664448022321,0.05846930552558641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mg,0.02159337794901758,0.02944748374844771,0.03437793075743172,0.023634540939303065,0.021534155649696754,0.04426790409758246,0.033446438353662886,0.04911541797531262,0.056496872945731136,0.11891671079541381,0.15190026751150462,0.1336010472208025,0.14768378862026177,0.12150356073332913,0.023681734351033445,0.054424777225915176,0.0525424183770364,0.15000446461178893,0.46340491929004635,0.2589479767730633,0.06565340826090192,0.10153184117303418,0.062410744284566846,0.14833459024176546,0.02011536775984214,0.03520573734570146,0.033743946753341546,0.035665688225841645,0.0614164551530206,0.0542384458768537,0.013712872507486588,0.02330717716017812,0.02483662168577886,0.2270413775472955,0.04130295449565409,0.06736273373018815,0.09510395515302049,0.07405575335439044,0.02530301752314531,0.05223281104085258,0.1076171570000444,0.09586454035417503,0.05485602990815347,0.09460430396252109,0.0941191278080245,0.08599118371751459,0.12568756735359016,0.21952685957272325,0.15822705319737204,0.1867135249561746,0.17462437929090058,0.030992156330257967,0.049698622416585174,0.05639981256041498,0.09994549411045389,0.17902012828983,0.1150551259746039,0.07302161393415395,0.07679986181599281,0.03059851212648675,0.07927660254595417,0.027942079657935655,0.02982348543661312,0.04553577283040517,0.03154959577596731,0.036572740082415206,0.052540630950071554,0.019896143961749366,0.022111201819167866,0.03570455371932076,0.1752386540427535,0.03125149841783878,0.04061156293735891,0.08606717772205652
Al,0.027881292475481288,0.024781624140316663,0.042708100354047186,0.0387028445855207,0.019556822528791765,0.03444261587921713,0.044336688642005594,0.060332545883693654,0.029673165669637385,0.10156341309567431,0.3534443148984656,0.07534061368168345,0.15851158588694944,0.14588258657876535,0.027659838033614135,0.04506398079192609,0.050469232490945454,0.13430016278028717,0.24241088796646734,0.1394321674195254,0.0567019899890124,0.060795549993895956,0.04498952101900466,0.09223247873682501,0.02382962601228988,0.041946671143124614,0.05775495259024148,0.0323015708297726,0.05233638749847395,0.08250473894111432,0.017643838766125384,0.030615757131811427,0.043757662882025164,0.2727171895983395,0.03491214137467954,0.05957901762096602,0.1475398872746512,0.06139245334903736,0.027567701263754074,0.05493233537597266,0.11552569150188056,0.1311846431663786,0.07324085996162498,0.09007272930875265,0.08554288941889124,0.06860656924940992,0.09503586600769462,0.18982780953994838,0.10040172540885238,0.13539394843982963,0.12067125551708577,0.03446635128702225,0.03959452991128128,0.050503293949083615,0.10298579548041306,0.11173695323687365,0.07075132368436256,0.053373329294175334,0.05638467487588744,0.027482976192996483,0.07675844234037381,0.03622242775363284,0.03477146982228274,0.05746838524671429,0.039875575523503466,0.04219738476079698,0.07844210035204105,0.023500290303403813,0.0268865170402821,0.043765576536154434,0.22320648754759317,0.031563264959166,0.04288793315464411,0.12320380143039528
Si,0.024583871697587804,0.023223954888788315,0.05763424066274518,0.06876777472240604,0.013257581189738583,0.006660800932855281,0.07833273521528765,0.08950309095339216,0.028507053848028124,0.11723171359949885,0.6370644244491614,0.04904877301681231,0.2312773260468516,0.23506121166765223,0.04968824880782488,0.05538174666713117,0.06957239200807566,0.08699887918131502,0.07002634794110499,0.06723915207629927,0.08074478401615118,0.06698087820669033,0.04889772703539989,0.08364429496327777,0.025791912353371093,0.05096489783842114,0.08236783041525984,0.025504136934804588,0.04305904312715397,0.07411894427233813,0.01609448466706115,0.024750349820738607,0.04384680984371196,0.11207912214139029,0.017687220230429186,0.028924355181175816,0.06605075881513456,0.07156031154774815,0.031575823818089266,0.06292050016987376,0.13890135717593016,0.15863986240500424,0.06755150832231152,0.10565546893878384,0.0993546565403905,0.08002815206224731,0.10230953485814528,0.26082236471454906,0.09499901926306586,0.15437767849687425,0.14240553359413763,0.05008349374756912,0.054048490008332985,0.07014675187655461,0.08018389089668053,0.094026386513339,0.07299353460460378,0.06331508150703255,0.07268853815238996,0.03022184668570778,0.10510063403334531,0.04345030603384195,0.04421014023352665,0.06789406206487314,0.040849268824212186,0.04365675586017663,0.06858762744419782,0.027660948121727983,0.028921454667592748,0.04378607184847681,0.13203619536410177,0.028052750118380425,0.035830953683341986,0.06754096712878797
P,0.027282897882618267,0.04964404202886116,0.13758749678162974,0.1724191882348622,0.019409631205325923,0.005557933744467424,0.12037250039846532,0.19480508012211534,0.06188265206037059,0.1385382373134878,0.6696316957443937,0.06926420680946041,0.2660521835881476,0.27246940401897907,0.05886813873937947,0.08344882483479056,0.09889951938991974,0.10047058102325823,0.09883286845751159,0.09656347547294741,0.08489297536873366,0.08265577222515125,0.031013639763127918,0.0930536793644177,0.0349845272979169,0.054971537339234926,0.07658897110209302,0.03401280911687889,0.0475185163615856,0.06243535978323522,0.02419436509201469,0.03428604269092617,0.042663012027512624,0.09342128477373328,0.026992459816338316,0.03708522859629991,0.04482291602810094,0.14822320365519034,0.06007507325893111,0.11363191383953199,0.17564569739020638,0.13717122784296332,0.056407132184144976,0.09021432267586621,0.10731965274495073,0.07338642300883644,0.09568927518962067,0.2077895213387849,0.08708894815362134,0.13568177504713977,0.121863231107499,0.06199761446482487,0.06385586943669411,0.09295839366215929,0.10255592458963879,0.11771691742044722,0.09134243598183558,0.07372264587872696,0.09269893536275892,0.0168672582626565,0.10668059107917371,0.04930255962904941,0.05118538616732016,0.06900234553506135,0.044052208183083565,0.04671765831110956,0.05923510063616563,0.03328100590527528,0.036247898021513056,0.04915217944772018,0.1213685369844948,0.03173088004072548,0.04235421379560389,0.05779447549233167
S,0.08727228042384402,0.15944779658422326,0.21071425314821232,0.1317209389393256,0.014915464178269992,0.010708559077234333,0.07604996538963295,0.1393989310721229,0.12265848885812429,0.14151000372727038,0.2686878810468308,0.15200995713639195,0.20887075191022664,0.20214427364819865,0.07098298101754481,0.12396044434386691,0.13136283478874358,0.07401778773195627,0.10805634834003365,0.09180972617874968,0.06606470807486504,0.07124864886451382,0.010623790301110176,0.06344865851548144,0.026316473536380787,0.043871600529804815,0.045155262439764726,0.02477282121083034,0.04032683002316253,0.043963650794707446,0.02148518742844975,0.03289107551715879,0.03994212414472458,0.08524104123958376,0.020608352080615535,0.031634106852852756,0.039981471805862596,0.10062679098213659,0.10830176501493073,0.14214369543286964,0.10173109846743993,0.03281738222701184,0.03179153257500212,0.06719469423915132,0.10487844966971335,0.1036534890516259,0.12278918503533244,0.21469682142144048,0.12896690039117142,0.17066070283150037,0.1588982755663124,0.06372603702183187,0.10495365836436435,0.11252362281132255,0.0856217347637228,0.15468708105836973,0.1113823400446392,0.06819805270068342,0.08437229152497822,0.014974436686987103,0.08898185545936221,0.029927557598122538,0.05011097966939166,0.054718859391106385,0.02946476909504988,0.04599092458706598,0.05183532847194797,0.025413438407510897,0.036934904427241184,0.04550568226570264,0.12148720498687615,0.028152681564505816,0.04211808874727622,0.04975691882087229
Cl,0.15992062162735804,0.1350311344206646,0.12794470381373999,0.08875519538592189,0.047989431122294535,0.053328749317892624,0.05029759973928358,0.07153106620990772,0.09121697083611284,0.07596457588067716,0.07149554356393667,0.08019073622142765,0.08961440459588962,0.07711043700357792,0.0475575395622387,0.06207069665918922,0.07142638922573251,0.059274874189050156,0.06659668874674131,0.05456198841932951,0.03968610925847343,0.04742059889043858,0.011250651791669121,0.060160117170921325,0.028790088977141692,0.035596226429394265,0.048474276965985885,0.028886247195779913,0.035519280907051504,0.050160329382162284,0.02454835384708655,0.02977574956041947,0.04797223064330337,0.11855766840477842,0.028008742345237255,0.03556877160007282,0.0595398350815501,0.15368382619203652,0.10397786885853509,0.11843953755852435,0.10169112837107305,0.05532066410195774,0.05858497994572405,0.06409811272075769,0.08361549189342746,0.08500788830170497,0.09483220776382666,0.10665223640276031,0.09679844873601201,0.11167925844776516,0.09446207031369762,0.05765957026345824,0.08211331636851373,0.09083059598352593,0.08491867410386462,0.1304994020951768,0.09103661492759242,0.06235951873588383,0.07959648558837386,0.017253251555335785,0.08772236928590028,0.034799127690117636,0.05104730720697507,0.06452442143613618,0.03436225408073368,0.04804443266833141,0.0632003220447977,0.02777603599701512,0.03545051336226983,0.053353603077724465,0.13047517804785086,0.028863294396533748,0.03993479026447322,0.06427915135330677
Ar,0.13055999999999998,0.17562,0.12849999999999998,0.07826,0.01362,0.0809,0.020459999999999992,0.025459999999999997,0.06001999999999997,0.04029999999999998,0.03178,0.05853999999999997,0.04221999999999999,0.03345999999999999,0.02622,0.041299999999999976,0.05057999999999998,0.07314,0.12342,0.09110000000000001,0.006540000000000001,0.0069,0.013040000000000001,0.04025999999999998,0.025259999999999998,0.029779999999999994,0.025099999999999997,0.05525999999999998,0.044819999999999985,0.04017999999999998,0.00382,0.00398,0.00382,0.22774,0.008960000000000001,0.06481999999999999,0.11569999999999997,0.0899917642350987,0.01828010066220884,0.05875711872460204,0.19163456042051813,0.1938668137908062,0.14712041225342323,0.09555926686742269,0.05658075179077343,0.061924870711492996,0.13248078482430672,0.13355500337317217,0.14114330624220706,0.15797327775470515,0.08343393570712357,0.04075727581323849,0.049871500135071065,0.07618524741081707,0.09206324064140008,0.08021884158036059,0.06955704795888837,0.0788623541184184,0.11281572585808596,0.017650786952667676,0.12449938644559232,0.07620183912504698,0.05833960843564609,0.06217486686605274,0.03908289309772321,0.04181568976141928,0.04360603222671177,0.04160168268833284,0.03999092056233794,0.0519065975665093,0.28199928764661947,0.04307742467503627,0.06435179522454006,0.14599320787824951
K,0.07825247963533548,0.059409002659013686,0.05457566053264702,0.04569522116236863,0.04339492149580025,0.05203234077575665,0.051582777613641266,0.05728064723758096,0.06963658042459833,0.08789327544000378,0.0635014244713632,0.09329629004347326,0.09720079770396389,0.08389353395517705,0.05552327691723306,0.05844211370446988,0.06382959629426455,0.08760593846283732,0.10468021145486049,0.09405377643185805,0.06661363060819675,0.07494683028742716,0.031209086016966887,0.11016682142404996,0.03279597877010091,0.06204523487950049,0.07392893470645391,0.029705144979529714,0.054038080867767124,0.06298357109694877,0.01942123200945411,0.031035880850884132,0.03640773118642626,0.1382844194487833,0.026817894525809283,0.054528378635039974,0.06880294285231953,0.14396003503741714,0.0629354193783226,0.095992225257126,0.13679347720269194,0.13044407535662378,0.09020176118916488,0.0772095731567493,0.0841074897611401,0.07181871277833149,0.09033841764030551,0.14497787657789618,0.09050020856488833,0.11693072894854369,0.09986382845811513,0.058432857964409515,0.06588970938776421,0.08357951969941589,0.09205923892942434,0.11740444749862143,0.08618558483642336,0.06481058045906318,0.0796761925834256,0.018797757276147287,0.09532555782902494,0.04118558776357385,0.05104960188145936,0.06422809456604268,0.04044942797538231,0.04926116752153899,0.06499516204690577,0.03193786554948997,0.036795553051979464,0.052487388297010565,0.12780840319937717,0.0316598739887112,0.04163443403193804,0.0631448016183118
Ca,0.05521937075783067,0.0514195116445609,0.045950989320630305,0.031407618002366154,0.03219427968740259,0.049342938539137196,0.055933008748988246,0.0741186990161283,0.09194848682981545,0.09991674839653801,0.07027224998443272,0.11213037860389832,0.1089645409116389,0.09145293137804363,0.0529547955974845,0.0707754841521891,0.07271280512485244,0.10293860529920962,0.16184588470639616,0.14399217728376684,0.09776397969985726,0.12234373637835559,0.0858631725200825,0.18303509714179056,0.03142652873777945,0.07656505308549741,0.08086608366025319,0.04420325051373063,0.08396392599165615,0.0688132433526375,0.021356583535711973,0.03714903247400218,0.029921006133632168,0.13704564807895947,0.02493063079892892,0.06357580640139518,0.06168486518463186,0.11919707378603304,0.04512617844563626,0.07784517904611274,0.1416560562073475,0.17571429188427523,0.12004957202571172,0.1117110023872776,0.1213685357237721,0.12323334161814276,0.12005166788038163,0.17671937618319297,0.1247361166464454,0.15478438198726166,0.1406789196636541,0.04646782792191847,0.07300707964799903,0.08374675709441207,0.08738861778200682,0.12772225148677646,0.0937023337601015,0.06585266494024472,0.07559628160051261,0.025495666503139315,0.09597750755693812,0.0358627780422641,0.04475770610861853,0.06105091201743289,0.0362045059796643,0.04662422508701,0.05929298393891049,0.02691274035074091,0.030074829531426397,0.04397698506605625,0.12903084388119612,0.028413575605019933,0.03865249402474908,0.06261584652891876
