X,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Fr,Ra,Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr,Rf,Db,Sg,Bh,Hs,Mt,Ds,Rg,Cn,Nh,Fl,Mc,Lv,Ts,Og
0.0,68404.6162499998,0.12850000000000003,3363.8702500000236,190.07549999999983,3661.755000000021,18422.74950000003,19949.921000000017,251073.3752500003,19048.91300000003,13.379000000000007,4583.17225000001,1182.5397499999988,3425.6350000000084,3531.35025,2225.2749999999937,13112.136500000022,10550.283250000064,3.264,3708.072000000007,3547.071500000011,246.97374999999965,1888.3037500000019,1623.243249999995,505.1542499999955,1876.0752500000015,7194.644499999998,1939.7245000000053,1954.2757499999996,3932.255500000014,1442.9587499999961,2164.8980000000047,2818.5575000000154,1174.6187499999894,5098.22050000002,3875.380750000025,5.4215,1165.8324999999934,1890.6947499999926,506.4942499999935,566.9649999999909,1104.9504999999979,1150.020999999993,34.88124999999999,258.99275000000006,238.88699999999912,406.45424999999824,2393.717250000019,753.9582499999899,772.0159999999901,2884.8110000000315,1253.073249999993,1205.3099999999954,2467.7347500000174,32.708749999999995,1554.41324999999,1734.3727499999984,1512.2172499999958,537.9542499999923,410.4394999999933,578.3322499999925,0.010000000000000005,219.1727499999978,333.02724999999697,382.85324999999574,255.98999999999856,247.48474999999783,211.74299999999937,329.92749999999796,156.15324999999987,223.191499999999,233.29324999999903,240.96174999999852,419.6952499999959,558.3642499999934,309.1662499999987,86.08150000000009,191.29474999999945,224.04574999999875,649.3794999999928,353.50374999999667,934.8397499999915,1531.9122500000021,1808.63875,0.17600000000000002,0.0,0.0,0.0,0.004,0.021500000000000005,63.49475000000026,0.14150000000000004,260.923999999998,15.266500000000027,26.975249999999974,1.1084999999999974,0.38200000000000006,0.06850000000000002,0.443,0.010000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3168.596500000002,0.021000000000000005,2952.2350000000247,75.84600000000022,1543.9157499999906,2932.795249999999,5794.06850000002,72951.63050000003,5023.402250000015,6.387499999999999,3340.890500000013,1612.6619999999903,3044.7942500000067,3336.0049999999974,4049.117000000003,23956.07475000004,8908.274000000085,4.3905,2815.1550000000225,3302.983750000014,580.771499999993,2369.8505000000073,2240.291499999999,769.5279999999887,2304.9810000000025,6196.004000000012,3020.1457500000215,2585.071750000002,2602.335000000013,1047.4804999999885,1442.0757499999931,2383.1717499999995,3010.9972499999926,12569.26000000012,4260.759750000029,0.037000000000000005,884.9734999999893,2735.88250000001,1289.020749999996,1002.4134999999854,1885.3232500000074,2620.4657500000085,58.3455,1220.916499999988,601.5764999999949,629.2574999999923,1626.9139999999989,651.3822499999907,1959.62425,1754.3582499999989,3071.7522500000173,5158.658250000068,4044.451750000028,15.651,1205.486249999986,2385.62075000001,2421.132000000005,974.4779999999873,918.8412499999874,1051.1969999999833,0.010000000000000005,696.5567499999892,971.8854999999842,1229.4114999999906,617.64474999999,695.7934999999917,736.1747499999897,726.1119999999911,439.71274999999724,449.42624999999543,364.7444999999956,400.0999999999968,877.7819999999867,1351.2152499999906,418.4209999999962,197.5490000000001,613.9859999999932,429.94724999999687,391.42474999999473,400.1944999999948,1630.1264999999971,3114.9247500000347,3708.302250000013,2.3325000000000027,0.0,0.0,0.0,0.004,0.009500000000000001,216.7039999999988,0.09850000000000003,300.53799999999546,17.9635,149.3295000000002,5.077499999999999,15.529999999999998,11.5185,27.964999999999996,0.010000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3662.8452499999926,0.021000000000000005,4298.739250000037,327.66249999999917,5512.173000000037,7829.536500000037,15386.215000000078,168680.66624999957,8381.266500000052,8.863500000000004,3536.9652500000147,1882.672999999991,5247.330750000007,8278.870500000032,11222.049000000066,31658.552250000015,8440.768000000055,3.2124999999999995,2586.1222500000113,2951.707750000008,504.7304999999947,2758.573250000016,4343.363500000035,1013.9619999999856,2619.2167500000046,7927.374250000037,3551.0920000000197,3991.5370000000144,3823.5237500000258,1905.1702499999928,2375.8565000000094,4571.172500000027,3641.5167500000066,14619.826250000138,3395.657250000016,0.037000000000000005,860.5317499999913,2137.9187500000016,1069.5812499999874,838.8162499999867,2082.463000000008,4598.65350000004,80.80300000000011,845.2749999999853,709.5522499999909,1147.0387499999904,2443.904000000014,816.1312499999874,2164.9600000000064,2268.9147500000063,3932.0027500000324,5216.205250000075,3449.8365000000235,23.093500000000013,1142.9019999999869,1680.6714999999992,1963.2097499999986,808.0874999999874,684.0217499999889,808.9892499999859,0.010000000000000005,573.8899999999923,614.8169999999895,1060.1024999999888,549.3119999999907,555.0059999999935,568.6614999999922,592.1157499999929,343.92449999999775,438.4922499999951,270.1124999999985,305.7307499999987,943.937999999987,1879.1129999999919,558.3507499999938,148.2095000000003,491.50224999999807,769.3629999999924,551.0509999999914,427.26074999999537,928.1189999999903,1820.7932500000059,3294.6850000000104,2.5905000000000036,0.0,0.0,0.0,0.004,0.009500000000000001,203.3729999999988,1.4834999999999965,271.923499999996,6.254999999999989,103.74650000000032,1.963499999999992,10.918000000000001,8.410500000000003,21.779000000000003,0.010000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4526.243749999998,0.021000000000000005,4166.436250000021,409.4062499999981,8661.334250000058,13315.399000000036,22510.970000000038,346951.64350000065,14473.568500000096,5.891000000000001,3070.476250000012,1294.321999999993,4755.225000000001,9878.147000000015,14063.026250000064,19790.280750000034,5855.357750000038,1.9564999999999997,2165.3137499999993,2017.4997499999924,257.9399999999994,1527.3195000000026,2888.6032500000065,794.8647499999877,1790.772499999999,5745.331250000007,3008.829500000022,3627.3192500000123,4370.053000000024,2049.253999999995,2681.7740000000117,6346.987500000069,2363.3135000000007,7376.781500000061,2267.665999999995,0.037000000000000005,793.2372499999902,1438.2879999999952,532.6522499999946,634.3652499999881,1154.700499999997,2821.512750000013,54.201500000000024,366.52899999999727,701.6989999999921,1225.6074999999905,2840.9017500000214,877.1564999999862,1383.6784999999973,3809.457750000039,4916.849000000052,2516.3365000000126,2037.1334999999974,13.591500000000005,966.8709999999872,1051.158749999994,1244.2432499999966,462.24724999999245,374.0272499999928,468.48849999999607,0.010000000000000005,282.43574999999674,287.04699999999696,504.3137499999932,303.85599999999704,250.5747499999981,260.7042499999982,276.2694999999985,139.9937500000001,249.34574999999805,126.65600000000073,228.51274999999924,658.4759999999923,1054.901499999988,388.7222499999964,84.88300000000014,323.0287499999986,888.2317499999898,652.2164999999899,454.2787499999959,432.01499999999606,910.30849999999,2074.4857499999957,1.8704999999999983,0.0,0.0,0.0,0.004,0.009500000000000001,96.07900000000038,7.598499999999998,211.18374999999773,4.185499999999991,50.19050000000004,2.8654999999999977,2.3299999999999996,1.8224999999999996,5.078999999999998,0.010000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8229.625500000007,0.253,1879.2752500000004,68.19425000000012,2338.031000000005,7276.289500000018,10790.087250000024,367859.2865000003,20457.56075000013,0.8454999999999993,3169.4207500000016,1179.296499999993,2402.849,1904.3852499999987,1583.1077499999983,2240.9589999999966,3165.9587500000152,0.3405,2056.3117499999908,2068.031749999993,328.196499999997,1263.7489999999996,869.530999999989,691.7657499999904,1581.202750000001,2818.9212499999944,1694.8787499999953,2132.1150000000034,2754.2550000000056,972.3264999999872,1432.211999999994,2722.7547500000073,325.86374999999833,778.3257499999936,1241.9852499999902,8.474,707.8192499999914,1024.012249999992,797.5277499999878,999.6334999999847,874.9129999999907,1286.7339999999926,12.427499999999998,160.35124999999977,292.80374999999935,857.59849999999,2864.9592500000144,838.3194999999869,754.6902499999904,2293.2015000000106,1381.1952499999918,418.2549999999941,955.7309999999901,54.61850000000007,673.0542499999912,831.4897499999939,930.535749999994,727.285499999988,441.44599999999235,608.9007499999917,0.010000000000000005,342.5112499999958,332.5674999999972,687.1257499999886,492.0989999999929,387.66499999999525,402.31124999999616,418.85199999999526,262.91999999999945,441.89499999999595,307.6679999999964,822.3869999999898,713.9609999999919,452.5014999999964,190.87049999999982,77.10100000000006,271.48949999999985,470.34124999999585,726.0642499999921,2262.6250000000127,312.86899999999855,462.45749999999407,502.5719999999946,0.09450000000000003,0.0,0.0,0.0,0.004,0.009500000000000001,116.41875000000056,4.100500000000003,902.7219999999878,90.96000000000026,37.18250000000006,4.467499999999999,0.09000000000000007,0.2665,0.5229999999999999,0.010000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,10075.25250000004,2.019,2634.0005000000137,107.6105000000004,1020.5347499999953,19917.017250000084,10949.042000000032,213562.96725000066,12723.795500000073,0.2685,4281.874750000015,2424.287500000006,4231.792000000013,956.7907499999968,453.3217499999965,1608.8967499999953,3518.204250000012,2.0225,2465.6045000000045,3169.593000000017,675.2687499999914,2641.997500000015,2503.6765000000005,1735.1597499999891,4935.713250000021,5403.097750000015,2470.4177500000133,2418.5877500000024,6471.371500000031,1741.042749999992,1821.0302499999939,1232.7819999999895,230.10524999999936,627.9564999999935,1422.63949999999,57.512,660.0737499999932,1227.120999999992,1466.3700000000026,1555.1899999999944,2588.7740000000167,1848.6782499999933,79.16600000000004,486.4994999999966,589.589499999996,858.8577499999913,3724.6047500000245,1569.8737499999916,1446.1689999999971,1406.311999999997,795.3569999999919,607.7764999999912,1287.3512499999908,283.6035000000004,712.7054999999905,1065.3432499999928,1360.658249999996,1064.7527499999896,659.9784999999896,1100.4487499999852,0.010000000000000005,667.4024999999898,706.8369999999903,1157.6989999999905,703.3384999999881,643.4624999999921,719.4499999999912,684.1437499999922,477.69749999999743,1227.5919999999921,569.0439999999948,1022.6637499999889,970.4794999999889,610.5042499999922,536.1182499999958,206.17200000000037,337.73899999999827,439.04924999999673,1893.3987499999962,4719.526500000011,654.6869999999928,739.5924999999911,1301.4127499999934,0.03450000000000001,0.0,0.0,0.0,0.004,0.009500000000000001,110.19950000000054,1.6324999999999985,4547.081500000047,579.842999999998,88.11750000000012,20.397000000000006,0.09000000000000007,2.0324999999999998,4.050999999999998,0.010000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,7194.876250000001,0.021000000000000005,3976.589000000026,732.7509999999965,22165.114500000105,24424.625,21267.168750000044,205737.08525000024,8987.045000000018,4.0269999999999975,4602.337500000035,1831.6607499999946,5447.427250000017,11252.105749999997,9817.942250000027,11426.051000000012,3318.2332500000157,0.5114999999999998,2444.301500000005,3592.912750000009,226.32574999999972,1063.240249999999,1409.9669999999899,904.7494999999878,2638.2264999999993,9332.949000000013,3776.927250000025,4952.188500000024,6087.7847500000435,3425.074750000034,4906.29025000004,8378.870750000056,2612.7519999999913,4410.499750000011,1641.9734999999955,2.7250000000000005,925.4854999999919,3111.24175000001,613.1862499999903,426.321749999995,759.4437499999926,1256.529499999989,60.60300000000002,567.8559999999934,953.4014999999883,1797.2155000000005,3652.632750000029,1716.2952499999922,2023.916000000009,4670.405500000049,3642.2745000000273,1979.5742500000047,1223.5827499999948,29.90849999999999,1011.6097499999875,1923.5454999999968,5291.91100000006,519.3779999999917,872.9264999999893,1043.2684999999872,1.016,554.161499999993,357.9482499999958,519.8232499999925,363.63374999999604,305.2299999999963,316.33574999999695,316.8282499999968,159.30774999999954,202.39074999999931,164.2592499999995,184.06899999999942,425.90199999999606,375.80124999999595,363.1124999999973,141.90900000000036,590.3372499999953,1307.5794999999948,1397.9804999999928,855.8782499999895,483.250999999996,964.5139999999925,1374.9739999999958,0.7604999999999986,0.0,0.0,0.0,1.2199999999999998,0.009500000000000001,121.13475000000064,3.064500000000003,201.20824999999826,16.7145,64.84900000000007,4.6195,6.930999999999997,3.3725,3.0729999999999995,0.010000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,4810.975500000006,0.021000000000000005,4591.3435000000445,873.797249999996,12069.899000000096,17385.360750000036,17369.88550000003,191638.06200000053,8541.92000000002,7.232999999999994,5401.382500000034,2689.7567500000196,7412.758250000021,12856.671500000015,15888.886750000092,20943.853000000032,4719.047500000032,0.6365,2714.3007500000112,4761.088750000018,439.3554999999954,2946.418500000021,3099.719000000012,1719.2174999999847,3429.7842500000042,10665.45175000002,4349.320250000013,4909.836500000026,4979.120750000026,3514.50575000004,4614.239250000039,7934.3815000000495,4795.869250000056,11069.177000000047,2424.833000000001,4.260999999999999,1038.3049999999898,2777.052500000011,872.9444999999866,744.2019999999874,1858.8797500000073,3349.5987500000274,168.07800000000012,642.2777499999919,1103.0607499999887,1411.779999999992,3184.7495000000304,1793.5629999999935,2721.024750000027,4829.71900000005,5780.411750000074,4720.219250000058,3652.0735000000245,60.47700000000005,1115.6254999999876,1514.0677499999981,4469.853500000039,685.9602499999896,1099.0929999999921,1345.974749999996,1.912,619.5534999999905,516.8674999999938,788.8392499999901,496.0809999999937,427.0107499999944,439.56724999999403,438.82549999999463,239.77799999999854,346.70449999999727,310.6264999999969,306.831499999998,927.8194999999884,1091.9472499999863,556.3507499999953,289.57649999999995,578.1059999999948,994.1739999999887,907.816999999988,906.2367499999891,652.7237499999935,1321.4302499999958,2388.8732500000124,0.9264999999999987,0.0,0.0,0.0,0.332,0.009500000000000001,132.68550000000073,0.8259999999999987,247.57874999999726,12.849499999999997,62.56750000000014,3.4634999999999994,7.431999999999997,3.4044999999999996,4.628999999999999,0.010000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5793.471250000003,0.021000000000000005,3091.702000000017,283.6292499999996,3382.3790000000095,6087.589000000015,8221.755500000032,181460.94875000019,7197.302750000015,17.52749999999999,5295.576750000032,3093.99475000002,3645.7934999999975,4094.8957499999997,5047.334750000006,18428.702000000027,6017.766000000036,1.5004999999999993,3299.7990000000163,5906.403000000025,752.9304999999896,2968.2682500000155,1701.6214999999925,1119.8402499999872,2974.2902500000023,7078.481500000022,2985.367000000015,2466.3630000000026,3919.2305000000133,1635.787999999991,2062.965999999996,3320.0562500000146,3433.5815000000107,11108.632250000066,3387.502500000018,4.705000000000001,1132.7687499999913,3296.0290000000145,1332.136,1163.1407499999905,1981.1435000000092,2816.9417500000145,62.33950000000004,747.2469999999895,674.5054999999932,789.4149999999885,2677.050500000015,1083.119249999987,1726.2835000000034,2886.766500000027,5269.229500000053,5563.926500000054,6489.364250000038,55.73725,1305.309999999988,2434.582000000012,3823.528000000017,1045.0692499999889,1313.4727499999951,1587.786749999999,0.234,727.892999999988,986.0307499999847,1539.758249999997,851.4107499999853,771.0672499999904,806.1319999999884,889.9119999999883,442.0567499999967,645.7442499999906,476.2802499999957,489.61524999999654,1092.0084999999865,1059.024249999987,482.42174999999634,335.3924999999996,503.3452499999973,493.67099999999556,443.5149999999935,1182.384499999995,1260.4779999999932,3135.8177500000334,4503.588250000043,0.8124999999999987,0.0,0.0,0.0,0.224,0.009500000000000001,222.3202499999986,3.6980000000000017,733.7674999999888,58.516499999999986,92.10900000000015,5.900499999999996,4.413499999999997,1.2999999999999996,4.0489999999999995,0.010000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,19174.936750000048,0.021000000000000005,6738.012000000052,810.9587499999997,4692.680250000027,10248.447500000015,10984.365500000036,155743.2277500003,7041.945000000008,17.788499999999992,7924.939000000019,6512.354750000042,12478.588750000024,16839.749500000013,11299.594250000006,21261.02900000001,5011.5350000000335,1.0074999999999996,4164.910750000019,6418.252250000016,1047.8974999999891,3911.8332500000224,3190.3697500000067,2501.678249999997,10814.43425000004,12799.544749999963,6343.984500000034,4975.68375000001,21112.006250000035,4733.838750000033,6209.025000000035,7059.814750000015,3872.9117500000034,9840.887500000046,2612.124000000007,2.1969999999999996,1402.7434999999891,2969.8170000000064,2114.743500000008,1823.3480000000036,3005.449500000026,4343.764250000045,187.1539999999999,2033.100749999989,1920.5774999999935,2660.6562500000123,3521.5442500000304,2138.572000000008,3423.7220000000184,4002.715000000028,5883.352250000055,5271.692250000054,3194.741000000012,70.76275000000004,1682.1192499999881,4147.599750000025,2353.7850000000008,1419.4229999999984,1146.5649999999944,1344.693999999997,0.26,938.3894999999882,974.8414999999867,1458.2084999999968,1049.757499999987,864.9529999999904,1006.9272499999893,1005.779249999988,490.3049999999964,956.3124999999905,584.9732499999952,746.5052499999933,1503.1939999999968,1865.778249999998,943.9967499999938,516.3652499999988,1039.252249999992,1964.4047500000045,1655.477249999999,1791.5930000000076,987.1837499999915,2470.5105000000162,3648.358500000017,1.3774999999999982,0.0,0.0,0.0,0.004,0.8409999999999999,229.67849999999865,8.888500000000004,1181.3144999999936,150.29075000000023,151.95750000000024,20.322000000000003,27.03400000000001,12.006500000000006,22.784500000000005,0.17600000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
