pairs,sub
Al Pa,0.9974079064083252
Al Pb,0.9987446269616554
Al Pd,0.9985253667722587
Al Pm,0.9944953871305238
Al Pr,0.9977845738017739
Al Pt,0.9987118441692371
Al Pu,0.9977408599203744
Al Rb,0.9986831768682399
Al Re,0.9983717191394086
Al Rh,0.9982681712383916
Al Ru,0.9975860423223148
Al S,0.9986581479549193
Al Sb,0.9965057996641086
Al Sc,0.9982723791573622
Al Se,0.9979048011133813
Al Si,0.9995248835076702
Al Sm,0.9977393635096117
Al Sn,0.9987103531102419
Al Sr,0.9981219516759653
Al Ta,0.9978293021675224
Al Tb,0.9964570105432484
Al Tc,0.9959528004798054
Al Te,0.9970327401231528
Al Th,0.9976157643538436
Al Ti,0.9994338054796296
Al Tl,0.9982132634125218
Al Tm,0.9981295623940075
Al U,0.997901306524907
Al V,0.9987500431321019
Al W,0.9985971723046735
Al Y,0.9984774655370117
Al Yb,0.9983204589895314
Al Zn,0.9990576980223964
Al Zr,0.9994150689519741
As Au,0.9956372350760362
As B,0.9947742698376955
As Ba,0.9951782900294488
As Be,0.9952480661801184
As Bi,0.9949772629778264
As Br,0.9947790716432678
As C,0.994937120562858
As Ca,0.9954286268702802
As Cd,0.9954750524042986
As Ce,0.9960655349306407
As Cl,0.9936944222793701
As Co,0.9946546046131959
As Cr,0.9960552028519227
As Cs,0.9963218876863567
As Cu,0.9951207315785228
As Dy,0.9936172287802624
As Er,0.9952366285390801
As Eu,0.9945750763492842
As F,0.9938021291582687
As Fe,0.9946728638807655
As Ga,0.9963933096385453
As Gd,0.995442153357561
As Ge,0.9961100080851963
As H,0.9944729759587404
As Hf,0.9948686189050601
As Hg,0.9949411268684623
As Ho,0.995424064920902
As I,0.9927082303413408
As In,0.9940606396898725
As Ir,0.9957111580601296
As K,0.9938109394532354
As La,0.9934181317269604
As Li,0.9942985015807193
As Lu,0.9948370442474916
As Mg,0.9956322499370202
As Mn,0.9954554633350388
As Mo,0.9951005086626287
As N,0.994402645564227
As Na,0.9945828280669877
As Nb,0.994330295121278
As Nd,0.9949000158463666
As Ni,0.9957340706252817
As Np,0.9940304030218434
As O,0.9947755746534239
As Os,0.9961383794895073
As P,0.9949481985997953
As Pa,0.9958461546478619
As Pb,0.994899847528034
As Pd,0.9956650247175276
As Pm,0.995197352961377
As Pr,0.9945957104549362
As Pt,0.9955332222250598
As Pu,0.9945921346512098
As Rb,0.9951724425216859
As Re,0.9947096437385388
As Rh,0.9958447836237543
As Ru,0.994959625559892
As S,0.9966857594121107
As Sb,0.9946253699869392
As Sc,0.9947136502765421
As Se,0.9968353975815394
As Si,0.995835531041287
As Sm,0.9947968325998128
As Sn,0.9959059617827809
As Sr,0.9952034772926048
As Ta,0.9951142422595314
As Tb,0.9943173707871704
As Tc,0.9943907034801269
As Te,0.9940569245513623
As Th,0.9944732670312699
As Ti,0.9951441628131898
As Tl,0.9947372529316254
As Tm,0.9947097050710616
As U,0.9934680838650872
As V,0.9951882561065728
As W,0.9951400420234319
As Y,0.9946594751463945
As Yb,0.9953541056441688
As Zn,0.9954833813668871
As Zr,0.9957047138608875
Au B,0.9973889648346309
Au Ba,0.9983426786574104
Au Be,0.9949537165156945
Au Bi,0.9984992766015544
Au Br,0.9971971961013106
Au C,0.9973636098806369
Au Ca,0.9969954282456955
Au Cd,0.9985685222352373
Au Ce,0.9971707183762323
Au Cl,0.9964728743254592
Au Co,0.9967879703395339
Au Cr,0.9985543032494579
Au Cs,0.9977459162390293
Au Cu,0.9987863205738887
Au Dy,0.997640463142186
Au Er,0.9972983421074058
Au Eu,0.9983788009597245
Au F,0.9964143900854588
Au Fe,0.999078054460435
Au Ga,0.9984467960037924
Au Gd,0.9977566847288202
Au Ge,0.9986892732189783
Au H,0.9956824846059515
Au Hf,0.9974784063878791
Au Hg,0.9976109148399527
Au Ho,0.9974439261754595
Au I,0.9925467693613691
Au In,0.9922748837596693
Au Ir,0.9981464327331594
Au K,0.9978505292892732
Au La,0.9981014433876991
Au Li,0.9978671819803113
Au Lu,0.996695653481613
Au Mg,0.9985919282035725
Au Mn,0.9984794646977697
Au Mo,0.9971764496324056
Au N,0.9962607461812594
Au Na,0.9972350099162257
Au Nb,0.9986164441107284
Au Nd,0.9977120711239594
Au Ni,0.9974679879419822
Au Np,0.9961549869222867
Au O,0.995202965811282
Au Os,0.9982164970131061
Au P,0.9973178436054111
Au Pa,0.9963635235263846
Au Pb,0.9981937602039346
Au Pd,0.997723219336963
Au Pm,0.9967530268400575
Au Pr,0.9979651372957775
Au Pt,0.9985023780666586
Au Pu,0.9959272083909332
Au Rb,0.9979511281905568
Au Re,0.9981544943929888
Au Rh,0.998702083295044
Au Ru,0.9978733567532713
Au S,0.996834733918412
Au Sb,0.9982752120569983
Au Sc,0.9982035960225436
Au Se,0.9973494786215443
Au Si,0.998366754541539
Au Sm,0.996028394598515
Au Sn,0.9983293642531574
Au Sr,0.9974500139328394
Au Ta,0.9989613807548603
Au Tb,0.9973894416463622
Au Tc,0.9971559954815932
Au Te,0.9971525097714266
Au Th,0.9978247812544754
Au Ti,0.9987081441718582
Au Tl,0.9982462509556415
Au Tm,0.9978474041052648
Au U,0.998497848759914
Au V,0.9980719347212874
Au W,0.9965871992082809
Au Y,0.9969505403246742
Au Yb,0.9981457632973272
Au Zn,0.9980623969041593
Au Zr,0.9982380528270849
Ba Be,0.9928001347023118
Ba Bi,0.9989231247428612
Ba Br,0.997975566548511
Ba C,0.9974380936828198
Ba Ca,0.9987790199830016
Ba Cd,0.9986016025469209
Ba Ce,0.9984326281576004
Ba Cl,0.9971270921034467
Ba Co,0.9978522320029996
Ba Cr,0.9985820084806158
Ba Cs,0.9982306635861485
Ba Cu,0.9982701184295019
Ba Dy,0.9976970768188023
Ba Er,0.9980656650091433
Ba Eu,0.9988400512852869
Ba F,0.9974196039804588
Ba Fe,0.9987509370382852
Ba Ga,0.9990506103703973
Ba Gd,0.9982313618822874
Ba Ge,0.9982369099779173
Ba H,0.9967983429827606
Ba Hf,0.997938771518501
Ba Hg,0.9976299460742769
Ba Ho,0.9977237846467613
Ba I,0.9949145604192978
Ba In,0.9918211077095078
Ba Ir,0.9966220943766507
Ba K,0.9971719679938723
Ba La,0.9985745029163808
Ba Li,0.9978131041696249
Ba Lu,0.9976276561892797
Ba Mg,0.9992505821338977
Ba Mn,0.9982779068393693
Ba Mo,0.9983986494539128
Ba N,0.9969376346644883
Ba Na,0.998617322731433
Ba Nb,0.9986035263911395
Ba Nd,0.9984574430094045
Ba Ni,0.9981801104947592
