pairs,sub
Al Pa,0.9928877609398934
Al Pb,0.9977510570034486
Al Pd,0.9985209220538885
Al Pm,0.9946605566933486
Al Pr,0.9979522212496507
Al Pt,0.997988969522641
Al Pu,0.9963507392832259
Al Rb,0.9982847669283604
Al Re,0.9983820424830442
Al Rh,0.9970653126135575
Al Ru,0.9971067429007643
Al S,0.9958518888046973
Al Sb,0.9968399507611712
Al Sc,0.9971166348915191
Al Se,0.9969238388076298
Al Si,0.9991642094610621
Al Sm,0.9961575247886325
Al Sn,0.9980873994926044
Al Sr,0.9976966111369158
Al Ta,0.9977590218209057
Al Tb,0.9955122299141943
Al Tc,0.9934627097400742
Al Te,0.9977551145366104
Al Th,0.9944871884704282
Al Ti,0.9986088749375615
Al Tl,0.9968310452737542
Al Tm,0.9971007223266657
Al U,0.9977289004525591
Al V,0.996932592872136
Al W,0.9979634214773863
Al Y,0.9980108630904513
Al Yb,0.9964001993640262
Al Zn,0.9983377087355105
Al Zr,0.9984523863023788
As Au,0.9945439618957616
As B,0.9940262785481914
As Ba,0.9950158178473921
As Be,0.9951006946423943
As Bi,0.9931213776369447
As Br,0.9924657687778827
As C,0.9919578960919442
As Ca,0.9942668032774028
As Cd,0.9945175139831673
As Ce,0.9942845741042685
As Cl,0.9930029450855724
As Co,0.9935140716508846
As Cr,0.9949825554080968
As Cs,0.994157605833369
As Cu,0.9939702003740271
As Dy,0.9930803708922504
As Er,0.9943773389099839
As Eu,0.9927619467222195
As F,0.9924717905972268
As Fe,0.9939410103494976
As Ga,0.9954894413318083
As Gd,0.9935952155285973
As Ge,0.995565358576707
As H,0.9936032526713514
As Hf,0.9932411314343944
As Hg,0.9946570987415477
As Ho,0.9924229098860212
As I,0.9923797788807489
As In,0.9885088748077153
As Ir,0.9918965370146258
As K,0.9923919280776946
As La,0.9928990633053949
As Li,0.9941233930474126
As Lu,0.9922222809146335
As Mg,0.9949536352486966
As Mn,0.9940018706751517
As Mo,0.9935499859871225
As N,0.991856723107473
As Na,0.9940041343953567
As Nb,0.9942416898880144
As Nd,0.9938309643100708
As Ni,0.9936549005649854
As Np,0.9921563450841678
As O,0.9927036632874874
As Os,0.9932134897380758
As P,0.9928174082211663
As Pa,0.9918149671529558
As Pb,0.9936135510454152
As Pd,0.9942691001410195
As Pm,0.9937471795989247
As Pr,0.9935982314387636
As Pt,0.9937239982511863
As Pu,0.9908979322443149
As Rb,0.9945944975740472
As Re,0.9947183261627797
As Rh,0.9925371935944409
As Ru,0.9932182963977484
As S,0.9936352697318663
As Sb,0.9945732089908379
As Sc,0.9941608105247602
As Se,0.9954002655636647
As Si,0.9949471094441459
As Sm,0.9928597118353462
As Sn,0.9942031956358098
As Sr,0.99376429712097
As Ta,0.9943200532570219
As Tb,0.9920618690936227
As Tc,0.9924054542622572
As Te,0.994218950267913
As Th,0.9898293561020332
As Ti,0.9936790190265761
As Tl,0.9925461111879532
As Tm,0.9940050801156909
As U,0.9928098316664851
As V,0.9931298125707106
As W,0.9926668262899252
As Y,0.9937061382905437
As Yb,0.9934797907472657
As Zn,0.9942410729571506
As Zr,0.9947665959060495
Au B,0.9965610569483792
Au Ba,0.9968320964353606
Au Be,0.9924745820475303
Au Bi,0.9974104823018055
Au Br,0.9962667536582707
Au C,0.9942107982619104
Au Ca,0.9982652351406837
Au Cd,0.9977284166488285
Au Ce,0.9979522055088075
Au Cl,0.9955167122422294
Au Co,0.9959537963729064
Au Cr,0.9982922542558436
Au Cs,0.9964192610544471
Au Cu,0.9986767989144506
Au Dy,0.9944755189481599
Au Er,0.997282974829169
Au Eu,0.997899692164347
Au F,0.9938309021727841
Au Fe,0.9987227968226967
Au Ga,0.9979166587525934
Au Gd,0.9980012502244793
Au Ge,0.9984606636063639
Au H,0.995127846783455
Au Hf,0.9962495876491355
Au Hg,0.9966611549313861
Au Ho,0.9962393957625534
Au I,0.9943267697046204
Au In,0.9837555642928286
Au Ir,0.9956919357801952
Au K,0.9934505255290615
Au La,0.9976141622300881
Au Li,0.9972833113248352
Au Lu,0.9961608711320111
Au Mg,0.998042705495848
Au Mn,0.9980126857862336
Au Mo,0.9971826254026337
Au N,0.9923297607303732
Au Na,0.9965708394588926
Au Nb,0.9978375051156284
Au Nd,0.9969001183031302
Au Ni,0.9975813547792177
Au Np,0.9955230379082498
Au O,0.9956399943392984
Au Os,0.9971158054170671
Au P,0.9944864526468029
Au Pa,0.9932021975863142
Au Pb,0.9977811834536473
Au Pd,0.9978520718075699
Au Pm,0.9947260221114671
Au Pr,0.9980351054320022
Au Pt,0.9978363623484684
Au Pu,0.9944249710073838
Au Rb,0.997075596769655
Au Re,0.9976743812035014
Au Rh,0.9972812563056528
Au Ru,0.9978905805417567
Au S,0.9955367305359494
Au Sb,0.9978696392387102
Au Sc,0.9970075490932603
Au Se,0.9975512188181217
Au Si,0.9977716362406975
Au Sm,0.9951809804292356
Au Sn,0.9985569413176595
Au Sr,0.9973221283756973
Au Ta,0.9980530203798226
Au Tb,0.9969259870670859
Au Tc,0.9934330704593812
Au Te,0.9971704541317564
Au Th,0.9951209076262122
Au Ti,0.9982684621412742
Au Tl,0.9962706928579351
Au Tm,0.9971804122364036
Au U,0.998126513517599
Au V,0.9963517050045367
Au W,0.9954290656295974
Au Y,0.9968446911998086
Au Yb,0.9973120501350041
Au Zn,0.9980759562318122
Au Zr,0.998374729122797
Ba Be,0.9929172794606589
Ba Bi,0.9971716759117158
Ba Br,0.997906993313413
Ba C,0.9939103579858204
Ba Ca,0.9982710593075054
Ba Cd,0.997941352719325
Ba Ce,0.9982717772048703
Ba Cl,0.9967026397662185
Ba Co,0.9963779196467368
Ba Cr,0.9975065119828005
Ba Cs,0.9979687681108859
Ba Cu,0.9979402008327782
Ba Dy,0.9975892190216694
Ba Er,0.9979779932071042
Ba Eu,0.9968040550046725
Ba F,0.9969356343306939
Ba Fe,0.9979687324616673
Ba Ga,0.9973932066965387
Ba Gd,0.9976918409420417
Ba Ge,0.9970267720830105
Ba H,0.9962514302756288
Ba Hf,0.9973884346929899
Ba Hg,0.9966127949546854
Ba Ho,0.9966198014919829
Ba I,0.9962192440965151
Ba In,0.9872527684662455
Ba Ir,0.9971084661215887
Ba K,0.9952041372540391
Ba La,0.9982588722868262
Ba Li,0.9975727646988579
Ba Lu,0.9951213524655746
Ba Mg,0.9982770927422695
Ba Mn,0.9977701522898869
Ba Mo,0.9963175115867641
Ba N,0.992539406077121
Ba Na,0.9974678632508379
Ba Nb,0.998031517308436
Ba Nd,0.9971841693824002
Ba Ni,0.9957524485352747
Ba Np,0.9956244546971502
Ba O,0.996028497605624
Ba Os,0.9958254806254379
Ba P,0.9964681883677029
Ba Pa,0.9944926057561616
Ba Pb,0.9974457673594236
Ba Pd,0.9975817001247763
Ba Pm,0.9971201684440104
Ba Pr,0.9982137976236612
Ba Pt,0.9960694870214871
Ba Pu,0.9956731296824486
Ba Rb,0.9971652158908088
Ba Re,0.9974362597729616
Ba Rh,0.996804214907134
Ba Ru,0.9969286040423398
Ba S,0.9955057862448747
Ba Sb,0.9968164166409812
Ba Sc,0.9975880125733753
Ba Se,0.9951087433340243
Ba Si,0.9971357927263005
Ba Sm,0.9965203928318562
Ba Sn,0.9975068292810162
Ba Sr,0.998142227296055
Ba Ta,0.998121336271951
Ba Tb,0.9974886098654565
Ba Tc,0.994965585043346
Ba Te,0.9977760601954142
Ba Th,0.9938340412237854
