,composition,class>1e-4
134,Li1.2Al0.2Ge1.0Ti0.8(PO4)3,0
135,Li1.2Al0.2Ge0.8Ti(PO4)3,0
136,Li1.4Fe0.4Ti1.6(PO4)3,1
137,LiSr1.65Zr1.3Ta1.7O9,0
138, La0.29Li0.12NbO3,0
139,Li4PS4I,0
140,Li4GeS4,0
141,Li0.83Mg0.83In0.17PO4,0
142,Li6.25La3Zr2Ga0.25O12,1
143,Li5.5La2.75K0.25Nb2O12 ,0
144,Li5.5La3Nb1.75In0.25O12 ,0
145,Li10Ge0.95Si0.05P2S12,1
146,Li7La3Zr1.89Al0.15O12 ,1
147,Li6.75La3Zr1.75Nb0.25O12 ,1
148,Li7.06La3Y0.06Zr1.94O12 ,1
149,Li0.85Mg0.85In0.15PO4,0
150,Li2SiS3,0
151,Li3.4Si0.4P0.6S4,1
152,Li6.05P0.95Si0.05S5Br,1
153,Li6.10P0.90Si0.10S5Br,1
154,Li6.02P0.98Si0.02S5 Br,1
155,Li6.08P0.92Si0.08S5Br,1
156,Li6.13P0.87Si0.13S5Br,1
157,Li6.17P0.83Si0.17S5Br,1
158,Li6.22P0.78Si0.22S5Br,1
159,Li6.12P0.90Si0.12S5Br,1
160,Li6.25P0.75Si0.25S5Br,1
161,Li6.30P0.70Si0.30S5Br,1
162,Li4SiS4,0
163,Li4SnS4,0
164,Li2SnS3,0
165,Li3PS4,1
166,Li4.275Ga0.25Ge0.61S4,0
167,Li6La2Ca(Nb)2O12,0
168,Li5AlS4,0
169,LiMgPO4,0
170,Li0.95Mg0.95In0.05PO4,0
171,Li0.9Mg0.9In0.1PO4,0
172,Li1.8Cr0.8Ti1.2(PO4)3,1
173,Li1.4Ti1.6In0.4P3O12,1
174,Li4.275Ge0.61Ga0.25S4,0
175,Li1.6Ti1.7Mg0.3P3O12,0
176,Li3.9Zn0.05GeS4,0
177,Li6.5La3Nb1.25Y0.75O12,1
178,Li6.75La3Zr1.75Ta0.25O12 ,1
179,Li3.25Ge0.25P0.75S4,1
180,Li5La3Nb2O12 ,0
181,Li5La3Ta2O12 ,0
182,Li6.2La3Zr1.2Sb0.8O12 ,1
183,Li6La3ZrTaO12 ,1
184,Li6.8La3Zr1.8Ta0.2O12 ,1
185,Li6.2La3Zr1.2Ta0.8O12 ,1
186,Li6.6La3Zr1.6Ta0.4O12 ,1
187,Li6.5La3Zr1.5Ta0.5O12 ,1
188,Li6.4La3Zr1.4Ta0.6O12 ,1
189,Li6.5La3Nb1.25Y0.75O12 ,1
190,Li6.20P0.80Si0.20S5Br,1
191,Li6.50P0.50Si0.50S5Br,1
192,LiTa2PO8,1
193,Li10GeP2S12,1
194,Li10SnP2S12,1
195,Li0.27La0.59TiO3,1
