formula,Li_features,natoms_insum
Li7La3Zr2O12 ,"[20.238    0.03     0.978   11.934   21.678    4.014    2.514    0.126
  4.11    13.494    1.638   13.626   10.398    6.894    8.814    4.878
  5.31     0.03     0.03     0.03     0.03     0.03     2.31975 12.822
  3.486    2.43     1.614    3.006    2.574    1.422    2.382    2.334
  1.326    9.486    4.206    7.383    2.766  ]",60
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li7La3Zr2O12,"[26.574  0.03   0.03   1.95  25.086  9.294  0.93   4.398  7.95   8.826
  9.978  9.63  10.29   9.918  6.27   4.782  4.782  4.35   4.11   4.062
  4.446  4.29   6.961  4.218  3.246  2.622  2.67   2.85   2.178  2.238
  2.61   2.238  1.95   3.618  1.455  4.239  3.342]",60
LiBH4,"[0.008  0.008  0.008  0.008  0.008  0.008  1.48   4.004  0.62   0.884
 5.21   0.2    1.682  1.7405 0.008  0.008  0.008  1.04   1.298  2.648
 0.008  0.008  0.008  0.008  0.184  1.064  1.312  2.24   3.512  3.206
 1.154  0.986  1.508  0.008  0.008  0.008  0.008 ]",16
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5275e+00 2.5950e-01 4.1000e-02
 6.5150e-01]",3
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiBH4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5175e+00 2.4750e-01 4.1000e-02
 6.4950e-01]",3
Li3N,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.770e+00
 3.246e+00 5.260e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.038e+00 4.810e-01 8.580e-01 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 1.980e-01
 8.460e-01 1.430e+00 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
LiI,"[6.2175 0.012  0.012  0.012  0.012  0.012  0.012  0.012  0.362  0.498
 1.41   0.0975 0.862  0.894  0.012  0.012  0.012  4.138  3.112  3.512
 0.932  1.236  0.578  0.4315 1.088  1.7635 3.25   1.616  2.292  5.308
 0.012  0.012  0.012  6.744  1.97   1.608  3.79  ]",24
LiBH4,"[5.390e-01 2.000e-03 2.000e-03 2.000e-03 4.060e-01 3.486e+00 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.160e-01 7.720e-01 1.474e+00 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
LiBH4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5075e+00 2.3750e-01 3.9000e-02
 6.4750e-01]",3
LiBH4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0.006 1.686 0.27  0.018 0.006 0.006 0.006 0.006 0.006 3.169 3.75  3.282
 3.646 3.69  0.006 0.006 0.006 1.75  5.486 1.43  0.006 0.006 0.167 2.422
 0.006 0.006 0.006 0.786 0.534 0.722 0.841 0.454 0.709 2.958 1.35  0.566
 1.126]",12
Li7La3Zr2O12,"[1.0540e+00 3.3480e+00 7.9740e+00 4.6140e+00 8.6000e-02 2.2000e-02
 6.1580e+00 1.1550e+01 7.5660e+00 1.2742e+01 1.4966e+01 1.2113e+01
 1.5566e+01 1.3218e+01 1.4000e-02 1.4000e-02 1.4000e-02 1.4000e-02
 1.4000e-02 1.4000e-02 1.4000e-02 1.4000e-02 1.7780e+00 5.7740e+00
 1.4000e-02 1.4000e-02 1.4000e-02 1.5730e+00 2.8820e+00 1.8180e+00
 1.9300e+00 2.3300e+00 2.3820e+00 6.5500e+00 2.0220e+00 3.5020e+00
 3.1900e+00]",28
