formula,Li_features,natoms_insum
Li2NH,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.590e-01 1.999e+00 1.500e-02 4.690e-01 4.910e-01
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 4.310e-01 7.850e-01 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
LiF,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiFePO4 ,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 1.254e+00 3.002e+00 1.774e+00 2.000e-03
 2.000e-03 8.460e-01 3.422e+00 2.000e-03 2.000e-03 2.000e-03 1.142e+00
 1.314e+00 8.330e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
LiFePO4 ,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 1.326e+00 2.994e+00 1.782e+00 2.000e-03
 2.000e-03 8.580e-01 3.482e+00 2.000e-03 2.000e-03 2.000e-03 1.170e+00
 1.326e+00 8.700e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3Fe(MoO4)3,"[1.60000e-02 8.00000e-03 8.00000e-03 8.00000e-03 8.00000e-03 8.00000e-03
 8.00000e-03 8.00000e-03 8.00000e-03 2.24000e+00 2.44000e-01 2.15600e+00
 2.06000e+00 1.96000e+00 1.37600e+00 6.75200e+00 5.88000e+00 3.12800e+00
 1.18360e+01 7.06400e+00 3.08000e+00 6.14400e+00 1.70675e+00 8.71200e+00
 8.00000e-03 8.00000e-03 8.00000e-03 8.00000e-03 8.00000e-03 8.00000e-03
 1.41200e+00 3.42800e+00 1.99600e+00 8.00000e-03 8.00000e-03 8.00000e-03
 8.00000e-03]",16
LiBH4,"[0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001
 0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.693  0.141  0.2405
 0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001  0.001
 0.001  0.001  0.001  0.001  0.001  0.001  0.001 ]",2
Li7La3Zr2O12 ,"[26.43   0.03   0.03   0.078 11.838 21.198  4.974  9.102  3.774  4.674
  3.846  3.078  5.61   5.958  3.438  4.446  8.862  5.106  6.51   3.822
  3.522  7.614  6.188  4.086  3.342  2.562  3.39   2.958  2.094  2.766
  2.67   2.082  2.286  3.882  1.467  4.239  3.198]",60
LiI,"[2.0000e-03 3.0700e+00 3.6140e+00 1.1610e+00 6.0000e-03 2.0000e-03
 2.0000e-03 2.0000e-03 2.0000e-03 2.1740e+00 9.8600e-01 2.1100e+00
 3.3460e+00 3.3540e+00 5.7000e-01 2.2780e+00 3.2380e+00 1.5180e+00
 1.7460e+00 1.4580e+00 2.0000e-03 2.0000e-03 4.2525e-01 1.4460e+00
 2.0000e-03 2.0000e-03 2.0000e-03 2.2600e-01 5.8600e-01 9.2600e-01
 2.0000e-03 2.0000e-03 2.0000e-03 2.0000e-03 2.0000e-03 2.0000e-03
 2.0000e-03]",4
Li7La3Zr2O12 ,"[25.662  0.03   0.03   0.174 17.694 18.078  3.15   8.418  5.55   4.71
  3.798  3.126  5.622  5.982  4.398  4.35   6.558  5.022  3.966  4.062
  3.966  6.414  5.98   4.002  3.474  2.766  3.39   0.03   0.03   0.03
  2.718  2.238  2.286  4.002  1.518  4.182  3.006]",60
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3Fe(MoO4)3,"[3.2000e-02 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03
 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03
 8.0000e-03 8.0000e-03 1.4640e+00 6.4880e+00 5.6720e+00 3.0520e+00
 1.1684e+01 7.1280e+00 8.0000e-03 8.0000e-03 1.6940e+00 8.0760e+00
 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03
 3.1200e-01 1.3680e+00 1.0360e+00 2.5200e+00 7.9200e-01 1.9040e+00
 1.0400e+00]",16
Li10GeP2S12,"[8.5920e+00 2.0000e-02 1.3200e-01 2.7840e+00 2.1216e+01 9.8080e+00
 3.5560e+00 3.6840e+00 8.6920e+00 7.3030e+00 3.5720e+00 7.1840e+00
 6.7560e+00 5.4960e+00 3.4280e+00 1.4440e+00 1.6960e+00 6.7520e+00
 3.5400e+00 5.2040e+00 5.0760e+00 4.9480e+00 2.0000e-02 2.0000e-02
 2.1800e+00 3.7400e+00 4.3520e+00 1.2950e+00 2.5840e+00 2.7840e+00
 2.1360e+00 4.9120e+00 5.0320e+00 5.7400e+00 9.0000e-01 2.3640e+00
 2.1560e+00]",40
Li2NH,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.590e-01 1.999e+00 1.500e-02 4.690e-01 4.910e-01
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 4.310e-01 7.850e-01 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3PS4,"[5.088 0.016 0.016 0.016 2.464 7.472 0.016 0.016 0.016 8.595 2.336 7.944
 8.38  7.16  4.928 2.848 3.104 9.052 7.184 6.866 3.536 2.976 0.016 2.896
 0.812 3.352 5.464 0.016 0.016 0.016 1.    0.872 2.112 5.48  0.808 2.5
 2.076]",32
Li5La3Nb2O12,"[1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02
 1.1124e+01 1.7700e+01 1.2780e+01 1.2000e-02 1.2000e-02 1.2000e-02
 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02
 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02
 2.5020e+00 5.8680e+00 3.6120e+00 1.2000e-02 1.2000e-02 1.2000e-02
 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02 1.2000e-02
 1.2000e-02]",24
LiF,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiFePO4 ,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li10GeP2S12,"[2.1444e+01 5.3240e+00 1.2080e+00 1.0800e-01 2.0000e-02 2.0000e-02
 3.6000e-02 1.8000e-01 2.1640e+00 2.6640e+00 1.1360e+00 2.9000e+00
 2.9600e+00 2.5800e+00 4.3400e+00 4.7840e+00 4.2720e+00 1.2040e+00
 3.4080e+00 1.8480e+00 4.5920e+00 3.7000e+00 2.0000e-02 2.0000e-02
 9.4800e-01 2.1320e+00 2.5800e+00 5.1200e-01 1.9560e+00 2.2400e+00
 3.5600e-01 2.2320e+00 1.5280e+00 2.9200e-01 6.8000e-02 6.8000e-02
 1.1600e-01]",40
Li7La3Zr2O12 ,"[1.3260e+00 3.5420e+00 7.9980e+00 4.4220e+00 7.8000e-02 2.2000e-02
 5.7100e+00 1.1406e+01 7.3580e+00 1.2477e+01 1.4810e+01 1.2097e+01
 1.5437e+01 1.3078e+01 1.4000e-02 1.4000e-02 1.4000e-02 1.4000e-02
 1.4000e-02 1.4000e-02 1.4000e-02 1.4000e-02 1.7540e+00 5.6660e+00
 1.4000e-02 1.4000e-02 1.4000e-02 1.5740e+00 2.9140e+00 1.8020e+00
 1.8860e+00 2.3020e+00 2.2860e+00 6.5100e+00 1.9980e+00 3.4780e+00
 3.1000e+00]",28
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiFePO4 ,"[4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 1.923e+00
 1.596e+00 2.396e+00 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03 4.000e-03 2.144e+00 5.764e+00 4.088e+00 1.612e+00
 2.307e+00 8.880e-01 3.444e+00 4.000e-03 4.000e-03 4.000e-03 1.120e+00
 1.324e+00 7.880e-01 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03]",8
Li3PO4,"[1.4000e-01 6.0000e-03 6.0000e-03 6.0000e-03 6.0000e-03 6.0000e-03
 4.9100e+00 7.2140e+00 9.9000e-01 3.6490e+00 1.0582e+01 2.5900e+00
 5.8660e+00 5.9620e+00 4.9200e-01 1.7580e+00 2.1500e+00 1.3540e+00
 7.4200e-01 8.1000e-01 6.0000e-03 6.0000e-03 6.0000e-03 6.0000e-03
 6.8200e-01 5.3000e-01 6.3000e-01 6.0000e-03 6.0000e-03 6.0000e-03
 6.0000e-03 6.0000e-03 6.0000e-03 6.0000e-03 6.0000e-03 6.0000e-03
 6.0000e-03]",12
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiZr2(PO4)3,"[1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 8.290e-01 5.370e-01 2.570e-01 1.000e-03
 1.000e-03 8.200e-02 1.725e+00 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03 1.000e-03
 1.000e-03 1.000e-03]",2
LiI,"[1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03
 1.0000e-03 1.0000e-03 1.0000e-03 1.9225e+00 2.6100e-01 1.8690e+00
 1.3030e+00 9.5500e-01 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03
 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03 5.0100e-01 1.7010e+00
 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03 1.0000e-03
 1.0000e-03 1.0000e-03 1.0000e-03 1.5490e+00 7.1300e-01 1.0390e+00
 5.6700e-01]",2
Li3PO4,"[4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03 3.292e+00 5.956e+00 2.052e+00 4.484e+00 4.508e+00
 8.920e-01 1.788e+00 2.956e+00 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03]",8
Li3N,"[2.405e+00 5.000e-03 5.000e-03 5.000e-03 1.061e+00 5.701e+00 5.970e-01
 4.500e-02 5.000e-03 2.003e+00 1.390e-01 2.003e+00 1.337e+00 1.003e+00
 1.301e+00 2.717e+00 4.021e+00 3.830e-01 1.901e+00 9.530e-01 5.000e-03
 5.000e-03 5.000e-03 5.000e-03 5.970e-01 1.509e+00 1.093e+00 5.000e-03
 5.000e-03 5.000e-03 5.000e-03 5.000e-03 5.000e-03 2.781e+00 3.250e-01
 9.490e-01 8.610e-01]",10
LiAlSi2O6,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiF,"[3.0370e+00 1.4830e+00 6.5100e-01 9.1000e-02 3.0000e-03 3.0000e-03
 1.4605e+00 1.2930e+00 1.0805e+00 1.1650e+00 1.7690e+00 1.1770e+00
 1.8350e+00 1.8510e+00 3.6800e-01 8.7450e-01 1.2665e+00 4.4900e-01
 3.4900e-01 2.4900e-01 2.0450e-01 3.2700e-01 5.6500e-02 2.5300e-01
 6.3000e-02 1.2850e-01 1.1250e-01 2.4500e-02 5.4500e-02 4.8500e-02
 3.5050e-01 3.5900e-01 3.4300e-01 6.4500e-02 2.7000e-02 3.8500e-02
 3.2500e-02]",6
LiFePO4 ,"[4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03 1.976e+00
 1.420e+00 2.452e+00 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03 4.000e-03 2.216e+00 5.712e+00 4.116e+00 1.596e+00
 2.352e+00 9.040e-01 3.452e+00 4.000e-03 4.000e-03 4.000e-03 1.124e+00
 1.324e+00 8.200e-01 4.000e-03 4.000e-03 4.000e-03 4.000e-03 4.000e-03
 4.000e-03 4.000e-03]",8
Li10GeP2S12,"[ 1.568  3.952  1.768  0.259  1.392  7.936  6.288  2.176  1.232 10.268
  6.064  9.887 11.34   6.768  0.016  0.016  0.016  9.584  8.594  8.2
  4.432  4.192  0.016  0.016  0.928  3.894  6.256  0.016  0.016  0.016
  1.912  2.616  4.454  3.072  0.195  1.072  0.624]",32
LiFePO4 ,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 3.746e+00 5.770e-01 3.606e+00 2.554e+00 1.854e+00
 2.000e-03 2.000e-03 2.000e-03 1.058e+00 3.110e+00 1.798e+00 2.000e-03
 2.000e-03 8.620e-01 3.422e+00 2.000e-03 2.000e-03 2.000e-03 1.130e+00
 1.318e+00 7.460e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
LiF,"[1.214e+00 7.768e+00 8.648e+00 7.968e+00 5.040e-01 7.200e-02 3.456e+00
 5.032e+00 4.080e+00 3.976e+00 1.112e+00 5.488e+00 5.136e+00 4.120e+00
 2.000e+00 4.768e+00 4.752e+00 3.288e+00 8.776e+00 6.496e+00 5.208e+00
 8.552e+00 4.310e-01 4.624e+00 8.000e-03 8.000e-03 8.000e-03 7.280e-01
 1.624e+00 1.136e+00 1.400e+00 2.880e+00 2.174e+00 8.000e-03 8.000e-03
 8.000e-03 8.000e-03]",16
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3PO4,"[6.07  0.01  0.01  0.01  0.01  0.01  3.73  3.056 1.258 1.694 3.74  1.22
 2.93  2.974 2.33  1.978 2.642 5.678 2.878 3.86  2.938 2.282 0.008 0.986
 2.444 2.542 4.486 0.168 0.256 0.202 0.128 0.216 0.168 3.362 1.098 1.122
 1.826]",20
Li3N,"[9.4000e-02 3.3040e+00 1.1163e+01 8.7880e+00 2.2230e+00 7.3200e-01
 8.0000e-03 8.0000e-03 8.0000e-03 2.1860e+00 2.6895e+00 1.6780e+00
 2.5195e+00 1.8015e+00 8.0000e-03 8.0000e-03 8.0000e-03 5.0400e-01
 2.7600e-01 3.3400e-01 1.8500e+00 1.4740e+00 2.1500e-02 1.3920e+00
 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03
 1.6380e+00 1.6560e+00 3.8160e+00 5.3580e+00 1.0340e+00 1.3935e+00
 3.5440e+00]",16
Li3PO4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiAlH4,"[1.170e-01 2.000e-03 5.000e-02 9.900e-01 3.394e+00 7.620e-01 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 1.230e+00 2.486e+00 2.458e+00 8.330e-01 1.862e+00 1.326e+00 1.174e+00
 2.422e+00 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 4.740e-01
 1.082e+00 5.820e-01 2.000e-03 2.000e-03 2.000e-03 1.030e+00 1.500e-01
 8.780e-01 4.700e-01]",4
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiFePO4 ,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.000e-03 1.314e+00 3.062e+00 1.822e+00 2.000e-03
 2.000e-03 8.820e-01 3.466e+00 2.000e-03 2.000e-03 2.000e-03 1.157e+00
 1.330e+00 8.500e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
LiZr2(PO4)3,"[6.220e-01 2.130e-01 1.962e+00 3.362e+00 2.930e-01 4.100e-02 2.000e-03
 2.000e-03 2.000e-03 1.190e+00 1.486e+00 1.114e+00 2.062e+00 2.070e+00
 5.700e-01 7.620e-01 1.342e+00 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 8.460e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.300e-01 4.210e-01 4.700e-01 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
Li2NH,"[8.3500e-01 1.1000e-02 1.1000e-02 1.1000e-02 8.4100e-01 7.2030e+00
 1.1000e-02 1.1000e-02 1.1000e-02 1.6900e-01 2.0090e+00 2.5000e-02
 4.7900e-01 5.0100e-01 1.1000e-02 1.1000e-02 1.1000e-02 6.0590e+00
 3.0710e+00 1.7270e+00 1.1000e-02 1.1000e-02 4.5965e+00 1.3973e+01
 1.1000e-02 1.1000e-02 1.1000e-02 1.1000e-02 1.1000e-02 1.1000e-02
 1.1000e-02 1.1000e-02 1.1000e-02 1.1000e-02 1.1000e-02 1.1000e-02
 1.1000e-02]",22
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiFePO4 ,"[2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.214e+00 1.730e+00 2.122e+00 1.870e+00 8.740e-01
 2.000e-03 2.000e-03 2.000e-03 9.220e-01 3.250e+00 1.810e+00 2.000e-03
 2.000e-03 1.110e+00 3.450e+00 2.000e-03 2.000e-03 2.000e-03 1.070e+00
 1.330e+00 7.980e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
Li10GeP2S12,"[1.2354e+01 9.0080e+00 2.1480e+00 1.8000e-01 2.0000e-02 2.0000e-02
 7.0200e+00 5.4200e+00 5.2440e+00 5.2200e+00 4.1320e+00 5.6840e+00
 6.1640e+00 4.3160e+00 6.1640e+00 4.3080e+00 4.5920e+00 7.6920e+00
 2.2200e+00 2.7400e+00 4.5800e+00 4.9800e+00 1.2000e-02 1.8440e+00
 8.3600e-01 2.1160e+00 1.6360e+00 1.7960e+00 3.3240e+00 3.1480e+00
 1.0440e+00 9.1600e-01 1.2680e+00 4.3080e+00 1.6040e+00 2.1800e+00
 2.3040e+00]",40
Li3Fe(MoO4)3,"[1.9000e-01 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03
 8.0000e-03 8.0000e-03 8.0000e-03 7.1360e+00 3.5920e+00 7.3600e+00
 7.9160e+00 7.8680e+00 8.0000e-03 8.0000e-03 8.0000e-03 8.3400e+00
 1.0916e+01 8.7280e+00 3.1200e+00 5.5440e+00 8.9175e-01 2.6400e+00
 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03 8.0000e-03
 3.0800e-01 1.3720e+00 1.0440e+00 8.0000e-03 8.0000e-03 8.0000e-03
 8.0000e-03]",16
LiF,"[1.30500e-01 2.50000e-03 3.50000e-03 1.14000e-01 2.98850e+00 2.37250e+00
 2.84500e-01 8.43500e-01 2.02350e+00 1.84850e+00 1.53950e+00 1.67250e+00
 2.04050e+00 1.82050e+00 2.14500e-01 3.59500e-01 4.52500e-01 1.53550e+00
 1.37150e+00 1.60725e+00 3.34500e-01 2.71500e-01 6.65000e-02 8.25500e-01
 1.10500e-01 2.71500e-01 1.82500e-01 2.50000e-03 2.50000e-03 2.50000e-03
 7.65000e-02 1.86500e-01 1.44500e-01 1.37050e+00 3.15500e-01 6.34500e-01
 4.96500e-01]",5
LiBH4,"[0.906 0.002 0.002 0.002 0.184 1.576 0.002 0.002 0.002 0.002 0.002 0.002
 0.002 0.002 0.444 0.526 1.012 0.002 0.002 0.002 0.002 0.002 0.002 0.002
 0.002 0.002 0.002 0.002 0.002 0.002 0.066 0.158 0.272 0.002 0.002 0.002
 0.002]",4
Li3N,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
LiI,"[2.000e-03 3.046e+00 3.630e+00 1.178e+00 6.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03 2.114e+00 1.178e+00 1.874e+00 3.250e+00 3.262e+00
 5.220e-01 2.194e+00 3.158e+00 1.522e+00 1.686e+00 1.414e+00 2.000e-03
 2.000e-03 2.760e-01 1.413e+00 2.000e-03 2.000e-03 2.000e-03 2.260e-01
 5.620e-01 9.260e-01 2.000e-03 2.000e-03 2.000e-03 2.000e-03 2.000e-03
 2.000e-03 2.000e-03]",4
Li3N,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li7La3Zr2O12,"[27.102  0.03   0.03   0.174 16.866 17.454  3.294  8.19   4.638  4.458
  4.11   2.826  5.514  5.838  3.726  4.35   6.126  4.782  3.822  3.63
  3.678  6.222  6.44   4.251  3.198  2.514  3.054  2.85   2.046  2.562
  2.562  2.046  2.082  3.954  1.479  4.266  3.258]",60
LiBH4,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",0
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5535e+00 2.8900e-01 4.3000e-02
 6.5950e-01]",3
Li3N,"[1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.1750e-01 1.0005e+00
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.9995e+00
 4.1900e-01 7.3000e-02 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03 1.5000e-03
 1.5000e-03 1.5000e-03 1.5000e-03 1.5235e+00 2.5350e-01 4.1000e-02
 6.4950e-01]",3
